r,rdf_mc_y_nacl,rdf_md_y_nacl,rdf_mc_y_nana,rdf_mc_y_clcl,rdf_md_y_nana,rdf_md_y_clcl
0.0235,0.0,0.0,0.0,0.0,0.0,0.0
0.07050000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.1175,0.0,0.0,0.004905423826069996,0.0,0.007358135739104994,0.0
0.16449999999999998,2.573783279150371,2.5822301186467924,0.06632333234227293,0.0,0.06256918145497446,0.0
0.2115,4.3374771863309505,4.29092108057427,0.11998606117779245,0.052233679629449095,0.12490662520085644,0.0480701254560872
0.25849999999999995,2.4143249445613635,2.3997556330944727,0.2113183611023952,0.19332842868240716,0.19687573930043295,0.20219670522747168
0.3055,1.6192978206915984,1.611224915356537,0.29316438250477383,0.3007837538322493,0.28608925198640367,0.31203139722042755
0.35250000000000004,1.224107637263885,1.2327602598459817,0.36082117476203623,0.37649127865087095,0.3661353839069452,0.37172211659774723
0.39949999999999997,1.0188514365392782,1.0152975503331072,0.4255115693418421,0.41628207382133814,0.41543338457807394,0.4124629722266471
0.4465,0.9013801208101424,0.8919106825032374,0.46633798872836496,0.465318856354528,0.45342897865975956,0.4549576772205156
0.4935,0.8190653459019797,0.8050568013873373,0.49137663835973155,0.49137663835973144,0.47726381187599853,0.48498067758877833
0.5405,0.7583875646980031,0.7479264470159889,0.5154056484551098,0.49975743918007465,0.5049155526077712,0.5048575962771236
0.5874999999999999,0.7286516551244375,0.71476930569666,0.5250765663425323,0.5323365936051158,0.5157562610729994,0.5172769424590812
0.6345000000000001,0.6990144839944216,0.6860822323953432,0.545846157738018,0.547318121334661,0.5370984883636818,0.5370143761581594
0.6815,0.6826070781156928,0.6729464262584647,0.553938131964429,0.5496364077412104,0.5496364077412107,0.5500009606414837
0.7284999999999999,0.6578582986828586,0.6610805138651757,0.5652275879713984,0.5616544384622941,0.5608887635674862,0.5547314612884056
0.7755000000000001,0.6473138046425301,0.6477642567845018,0.5629244111700502,0.5730595843644091,0.5630088709466696,0.5707791703956783
0.8225,0.6393819514520925,0.6331625748154683,0.5736092279066222,0.5725580656581792,0.5713066820290795,0.5747605008453939
0.8694999999999999,0.6355618858288595,0.6333447704217158,0.5749719289194714,0.5806154954103849,0.5737625932428475,0.5774353904829651
0.9165,0.6274995743650237,0.6233169829617135,0.5872156759577212,0.5818337390676797,0.5803219590423858,0.5732266714570128
0.9635,0.622807900106478,0.6209384550508106,0.5875529021298518,0.5915288925897091,0.5822090250438965,0.5895226588714323
1.0105,0.6211701844653664,0.6175969055493377,0.5865815078118308,0.5882064791982394,0.5843761895017062,0.5857358594372717
1.0575,0.6125269497880051,0.6143286332302968,0.5932686192115827,0.5906039445406313,0.5886205787344115,0.59426787221319
1.1044999999999998,0.6120954096235256,0.6140454210754352,0.5919846153614858,0.5921234062121556,0.5928451186356374,0.5952462003522245
1.1515,0.6108412108697169,0.6097047502269638,0.5971142986117368,0.5937943012284118,0.5901806117688694,0.593832608890527
1.1985000000000001,0.6105788674512508,0.608356951862982,0.5997403985737246,0.597135394090926,0.592290792993957,0.5929273099264053
1.2454999999999998,0.607245934271857,0.6073168786801644,0.5975811229555863,0.5954746197550889,0.5988253787320452,0.5975811229555864
1.2925,0.6066914674143592,0.6040056465178543,0.596870484589025,0.5992826558092826,0.5975090005002702,0.595390749302649
1.3395000000000001,0.6071433935081106,0.6045200712865669,0.5987119603967812,0.599146035296749,0.5978249377751081,0.5938805180319234
1.3864999999999998,0.6078890759900853,0.6037451484007327,0.5963908879605424,0.5968312628372008,0.5954661007195601,0.5972540227187927
1.4335,0.603035246583977,0.6039745409876518,0.5966167348255315,0.5984211688115387,0.6004892643845416,0.598478844783694
1.4805000000000001,0.6032557420144388,0.6033716108689848,0.6003551583556289,0.5975125091240945,0.5989801812816806,0.594662135302257
1.5274999999999999,0.6030841253858751,0.5996590365605716,0.6014078636938303,0.6009071621494533,0.5964734136912745,0.5986648900159396
1.5745,0.6026874305353634,0.6044495147232756,0.5985007731431533,0.6027352390210818,0.5976060714818491,0.5987807942737906
1.6215000000000002,0.6033318416408373,0.6017219435672734,0.6015545141676228,0.5978259902292508,0.6014128431371496,0.5983475972050845
1.6684999999999999,0.6044595629459757,0.6011145134712449,0.6006370836825787,0.6006310017744426,0.6018717110341608,0.6020784959107807
1.7155,0.603840505386597,0.6026783553433598,0.6032997028912291,0.6038577650407047,0.5957572340462554,0.6006704822488547
1.7625000000000002,0.6042228545407129,0.6000396181112584,0.6024623524342456,0.6000477938176357,0.5997098646207281,0.6028765882240021
1.8094999999999999,0.6034771696298623,0.6016207782131406,0.6021016818391988,0.6047078692320343,0.6028514778153125,0.6020292877449535
1.8565,0.6024048705330527,0.6015574646585963,0.5986222472093932,0.601103058609975,0.5979787099945881,0.6002777589757221
1.9035,0.6041359161650848,0.6014256339871382,0.6031966632034166,0.60500507562215,0.6006592783368232,0.6025611487616919
1.9505,0.6028708204880483,0.6006589649560797,0.6008681343927047,0.6024435807877081,0.597298902729448,0.5973434068649
1.9975,0.6007107332751913,0.6008274280461398,0.603023411463087,0.6016867259049455,0.5984829240116213,0.6023953814230711
2.0445,0.6028064482459901,0.600937101985147,0.6022170877238827,0.6003821714591759,0.6033309993636046,0.6010221643285438
2.0915,0.6016029956556515,0.6019184482830223,0.6007650141363169,0.6007843670582416,0.6010553079651855,0.6004514968011383
2.1385,0.602254287733134,0.6033816436948526,0.6035186294767356,0.6039443960961042,0.5998681435054575,0.6025004919086812
