N,ns,L,i,abs_err_3,rel_err_3,abs_err_6,rel_err_6,abs_err_9,rel_err_9
1000,50,29.999999674644798,1,0.05028563278931131,0.003551868789141158,2.9194721149039538e-5,2.062136103396005e-6,6.087890902506388e-8,4.300112872976532e-9
1000,50,29.999999674644798,2,0.03258122791387308,0.0005367484668544582,1.119812737471193e-5,1.8447977823015887e-7,5.452560003504914e-8,8.982636351366712e-10
1000,50,29.999999674644798,3,0.03638624939397772,0.000897422746340252,2.3608786698048334e-5,5.82282113413712e-7,4.427354838298925e-8,1.0919534176189723e-9
1000,50,29.999999674644798,4,0.0208651084398781,0.0005294828527303713,1.0722523690276375e-5,2.720998286855629e-7,5.3674050093377446e-8,1.3620580618080113e-9
1000,50,29.999999674644798,5,0.021248557954582026,0.0007309278015275127,1.2010891872193952e-6,4.131619100596084e-8,6.460823698262175e-8,2.222454658768639e-9
1000,50,29.999999674644798,6,0.04164939112226307,0.0005913449703083856,4.075124266478269e-6,5.785929093872031e-8,6.418136422325915e-8,9.112576654372138e-10
1000,50,29.999999674644798,7,0.05317192962283457,0.000595307763148708,2.176884939331103e-5,2.4372192490617856e-7,5.923772050664411e-8,6.632197691334926e-10
1000,50,29.999999674644798,8,0.022415680187606313,0.00023007754642929748,2.0505657531089128e-5,2.1047281783048307e-7,5.5473961424468143e-8,5.693921767456334e-10
1000,50,29.999999674644798,9,0.03569447772385281,0.0031341890295398154,2.557426299887311e-5,2.2455735352046033e-6,6.031079813340057e-8,5.295649465300295e-9
1000,50,29.999999674644798,10,0.05018180905399561,0.0009097111749735815,2.7392266240156005e-5,4.965753761429485e-7,4.618598836714227e-8,8.372737160507717e-10
1000,50,29.999999674644798,11,0.05588012513881324,0.002111712816451757,1.2322702865219526e-5,4.65675578019357e-7,6.505763749942162e-8,2.4585314827825514e-9
1000,50,29.999999674644798,12,0.03323993783137169,0.002545562244253443,3.227411144735015e-5,2.4715978707295947e-6,6.695849386062491e-8,5.127777758441403e-9
1000,50,29.999999674644798,13,0.028246758068178224,0.0007730754113482468,7.153457985964451e-7,1.9578043121670485e-8,5.558017335260956e-8,1.5211538709563036e-9
1000,50,29.999999674644798,14,0.03802182118947073,0.0016910795123230254,2.188045492346191e-6,9.73167194095917e-8,4.297197264691022e-8,1.911245181685809e-9
1000,50,29.999999674644798,15,0.037239772469962684,0.009600241238482422,1.956061463026515e-5,5.042636051952286e-6,7.366555365706517e-8,1.8990639286118745e-8
1000,50,29.999999674644798,16,0.03178257952964003,0.0008375849383452362,2.623723312211723e-5,6.914451756958146e-7,6.092415816283392e-8,1.6055700328213927e-9
1000,50,29.999999674644798,17,0.049217433460626125,0.0007609940793016203,1.7593444681551773e-5,2.7202774089982294e-7,4.899416694570391e-8,7.575419591072985e-10
1000,50,29.999999674644798,18,0.03948517439458499,0.0006953623700208862,4.220998356174732e-6,7.43348222670241e-8,3.124119274389159e-8,5.501799133917716e-10
1000,50,29.999999674644798,19,0.023524943079621607,0.0002849588043127922,7.0490010557477945e-6,8.538490000366923e-8,5.8986188378185034e-8,7.14502630434721e-10
1000,50,29.999999674644798,20,0.05613017632960293,0.0006739198208014714,3.2416708791060955e-5,3.8920708980427007e-7,3.8464875729005144e-8,4.618236366517644e-10
2000,200,37.797631086924326,1,0.011836027416848083,8.603048761297509e-5,1.2295901058223535e-5,8.937309169917112e-8,9.118562616095005e-8,6.627852070327525e-10
2000,200,37.797631086924326,2,0.044323434162265585,0.00040409542809687656,1.841891149467756e-5,1.6792466707953663e-7,7.071166407968121e-8,6.44676133692903e-10
2000,200,37.797631086924326,3,0.07261065529721122,0.00047437068482767043,5.7932445486130746e-5,3.78476874041557e-7,1.2527846138254972e-7,8.184532872888073e-10
2000,200,37.797631086924326,4,0.037632764133881835,0.0020403549860915217,9.935479488731858e-5,5.38677016706108e-6,1.209454616457606e-7,6.557362484354239e-9
