N,ns,L,n_trials,n_levels,i,abs_err_3,rel_err_3,abs_err_6,rel_err_6,abs_err_9,rel_err_9
4000,200,47.62203104257679,20,12,1,0.016555453950630294,0.00017733661489108453,5.876814810790165e-6,6.295052059551891e-8,1.2000285209978756e-8,1.285431352840772e-10
4000,200,47.62203104257679,20,12,2,0.025568400177107264,0.0002156881279386065,2.2252506624909074e-5,1.8771614424923672e-7,2.038756008460041e-8,1.71983958222795e-10
4000,200,47.62203104257679,20,12,3,0.005601657097464852,0.00011363702796832747,8.850802565518734e-6,1.7955024400461488e-7,7.565034820800065e-9,1.5346674360015523e-10
4000,200,47.62203104257679,20,12,4,0.007750269813271871,0.0002585199153750187,1.2278221262818079e-5,4.095553830118171e-7,5.280092807424808e-9,1.7612408066235452e-10
4000,200,47.62203104257679,20,12,5,0.0057608283903363144,7.421422019889147e-5,2.723608059795879e-5,3.5087045575639277e-7,2.784746300221741e-8,3.5874662656048924e-10
4000,200,47.62203104257679,20,12,6,0.01342550775157747,7.535100699592328e-5,1.9558949702513928e-5,1.0977510744007963e-7,1.2580414932017447e-8,7.060790184584881e-11
4000,200,47.62203104257679,20,12,7,0.017767646157949457,0.00021240332291220528,1.6216774952226842e-5,1.9386343335249793e-7,1.9851711385854287e-9,2.3731728031757132e-11
4000,200,47.62203104257679,20,12,8,0.024571665696697664,0.00014257674399417426,1.778717589218104e-5,1.0320983749586329e-7,1.0410872164356988e-8,6.040893904612628e-11
4000,200,47.62203104257679,20,12,9,0.004015134831050204,0.00011490417341054367,5.391109212382617e-7,1.5428148091673537e-8,2.420826206162019e-9,6.927862846311251e-11
4000,200,47.62203104257679,20,12,10,0.00038934107070076607,1.7607703572209128e-6,4.706442695123769e-6,2.1284589294978095e-8,1.1169674962729914e-8,5.0514148273052306e-11
4000,200,47.62203104257679,20,12,11,0.0006901999185426888,4.699939272156659e-5,1.0442797746534893e-5,7.111057814054608e-7,2.51050735755598e-10,1.7095383244508177e-11
4000,200,47.62203104257679,20,12,12,0.023039720872247926,0.0020198367309768902,1.8039712223583138e-5,1.5814980384304855e-6,4.335474201866418e-9,3.800805612050852e-10
4000,200,47.62203104257679,20,12,13,0.01429764408915446,0.00017028087978452472,4.343680686247353e-6,5.173200312898465e-8,7.319073347389349e-9,8.716808454802073e-11
4000,200,47.62203104257679,20,12,14,0.013178118232460179,0.00010580837862003688,4.0499544553540545e-5,3.2517473803694067e-7,2.904869234043872e-8,2.332347443964544e-10
4000,200,47.62203104257679,20,12,15,0.024156769531334277,0.0007923922454411144,2.8524724147160896e-5,9.356702347240035e-7,3.929464753582579e-9,1.2889461049144818e-10
4000,200,47.62203104257679,20,12,16,0.004724278397901571,5.277273889833697e-5,5.800150404411397e-7,6.479080974547248e-9,5.750550258198928e-9,6.423674934832217e-11
4000,200,47.62203104257679,20,12,17,0.007413433730185659,0.0003345350652413734,1.3873257412200246e-5,6.260379794862679e-7,4.511289120046058e-9,2.0357427543356627e-10
4000,200,47.62203104257679,20,12,18,0.010996275966089541,0.0004951176681174262,1.4119797889122765e-5,6.357571805864674e-7,1.8716690419751103e-9,8.427365904675838e-11
4000,200,47.62203104257679,20,12,19,0.021510355503437495,0.0001633727690895326,1.2871095975697244e-6,9.775694271676538e-9,9.412474355485756e-9,7.148845118780954e-11
4000,200,47.62203104257679,20,12,20,0.01555708273814993,0.0015495551902240323,1.9958054302549044e-6,1.987911689602914e-7,1.2227125978370168e-8,1.2178765672335653e-9
8000,200,59.999999349289595,20,12,1,0.04644457633332877,0.0002924446778511347,1.932653856329125e-5,1.2169221446990334e-7,3.676390747386904e-8,2.3148901177572615e-10
8000,200,59.999999349289595,20,12,2,0.03080326991366178,0.0002988641260627188,4.584440702615211e-6,4.447985125974492e-8,2.0309911974436545e-8,1.9705388777438264e-10
8000,200,59.999999349289595,20,12,3,0.012358979556566396,0.0003073505531106525,1.2875153338143264e-5,3.201870738397913e-7,6.900577886881365e-10,1.7160773028298126e-11
8000,200,59.999999349289595,20,12,4,0.05595540599273363,0.000434551102459938,3.4360902247954073e-6,2.6684763855177134e-8,1.1005909072991926e-8,8.547216906733816e-11
8000,200,59.999999349289595,20,12,5,0.05722959031689001,0.002359482612011449,1.889625938389372e-5,7.790619363423442e-7,2.3012251659793037e-8,9.487575807176231e-10
8000,200,59.999999349289595,20,12,6,0.005878152800562475,3.8777605886903235e-5,7.108438401814965e-5,4.68936810881358e-7,1.7569959709362593e-8,1.1590732602140531e-10
8000,200,59.999999349289595,20,12,7,0.011855243819297812,6.617297245118326e-5,2.4662133768060812e-5,1.376577928970799e-7,4.59874627267709e-9,2.5669038532677542e-11
8000,200,59.999999349289595,20,12,8,0.013883496829386388,0.0004403869798758998,7.96850330431198e-6,2.527623369992284e-7,1.1280349099251907e-8,3.5781467254348293e-10
8000,200,59.999999349289595,20,12,9,0.02668199398243587,0.002066177799923458,2.4486878119844846e-5,1.8961942647149942e-6,3.218811883698436e-10,2.4925564635856955e-11
8000,200,59.999999349289595,20,12,10,0.006123307127715805,0.00013989151327963888,3.0565534245852177e-6,6.982924015846192e-8,8.345928392827773e-9,1.906689519641499e-10
8000,200,59.999999349289595,20,12,11,0.011885767795050128,0.0001243382576926796,2.606344544631156e-5,2.726524236500883e-7,2.2139815314403677e-8,2.3160691924143792e-10
8000,200,59.999999349289595,20,12,12,0.006498339645332862,0.00010699269663249447,2.4299185476195362e-5,4.0007686916434106e-7,4.480320114907954e-9,7.376677074967745e-11
8000,200,59.999999349289595,20,12,13,0.04065285300339383,0.00015108921694974428,4.5040943064122985e-5,1.6739786547498247e-7,4.304700951252016e-8,1.5998726974295988e-10
8000,200,59.999999349289595,20,12,14,0.007173002107499826,0.0002127491908013568,4.817496795084253e-5,1.4288557698466136e-6,3.6009453197038965e-9,1.0680300819735339e-10
8000,200,59.999999349289595,20,12,15,0.003140717369973345,2.441342725027799e-5,2.599820419391108e-6,2.020892655907166e-8,1.3689799516214407e-8,1.0641356263229369e-10
8000,200,59.999999349289595,20,12,16,0.029017073549113093,0.0001602958024749197,6.288857727554387e-5,3.474083953995913e-7,4.502439310272166e-8,2.487232632584895e-10
8000,200,59.999999349289595,20,12,17,0.017240233460768195,0.00011742566225595077,2.2890178627221758e-5,1.559082358469847e-7,1.7371093008478056e-8,1.1831696509632773e-10
8000,200,59.999999349289595,20,12,18,0.01820594935427522,0.0003878729263828592,1.3027447238300738e-5,2.775463111145826e-7,1.908293256747129e-8,4.0655682133784133e-10
8000,200,59.999999349289595,20,12,19,0.017144010028053103,0.001103079450316781,5.234569057321892e-6,3.368025070533386e-7,8.90166340639098e-9,5.727505969233181e-10
8000,200,59.999999349289595,20,12,20,0.024292426650731613,0.0001583844184268243,2.4622045657451963e-5,1.6053350445402274e-7,1.7075478808692424e-9,1.1133057307771519e-11
16000,200,75.59526217384865,20,13,1,0.027292265663874105,0.0001850350882241502,1.2337608865209404e-5,8.364606196365986e-8,2.173797497562191e-8,1.4737831468322335e-10
16000,200,75.59526217384865,20,13,2,0.015525551132043347,6.859412778214721e-5,2.7149535242187994e-6,1.1995056882618064e-8,2.363032081120764e-8,1.0440217107086874e-10
16000,200,75.59526217384865,20,13,3,0.11074320912791791,0.0015535810790817065,2.7785691003145985e-5,3.8979657670780014e-7,1.42327252206087e-8,1.9966635228139165e-10
16000,200,75.59526217384865,20,13,4,0.028066984884873136,0.00013595061939257092,5.42742485549752e-5,2.628931371994993e-7,3.438401563471416e-9,1.665489984733842e-11
16000,200,75.59526217384865,20,13,5,0.02683618205500693,0.00014680752754564589,2.8800078638369087e-5,1.5755103797376015e-7,1.4348159993460285e-8,7.849171276121421e-11
16000,200,75.59526217384865,20,13,6,0.0628338013450076,0.0014912389237199902,1.3605952510431507e-5,3.229110055976787e-7,3.005523296906176e-8,7.133029087137718e-10
16000,200,75.59526217384865,20,13,7,0.03017895910559787,0.00014556024119706485,5.293648948168084e-5,2.553251803721114e-7,2.888614858420624e-8,1.3932471098353396e-10
16000,200,75.59526217384865,20,13,8,0.014350358863680412,3.1442709348665955e-5,5.56598035927891e-6,1.2195479175097486e-8,4.336567371865385e-8,9.501743387726066e-11
16000,200,75.59526217384865,20,13,9,0.02503656985612679,0.000334745167692183,0.0001098016275733471,1.46807507762171e-6,3.831303274637321e-9,5.122547795157459e-11
16000,200,75.59526217384865,20,13,10,0.036735656257746996,5.245512859361347e-5,8.251837334682932e-5,1.1782862554227326e-7,4.189587343716994e-8,5.982344274100322e-11
16000,200,75.59526217384865,20,13,11,0.028380320982606122,0.0004846048710919891,6.9075412554298055e-6,1.1794891755106457e-7,2.80950374076383e-8,4.797335445782166e-10
16000,200,75.59526217384865,20,13,12,0.014016363713611923,0.0032074621656540984,3.7720622575676543e-5,8.631872877193103e-6,1.3370663687339857e-8,3.0597021298169713e-9
16000,200,75.59526217384865,20,13,13,0.02403445467135623,0.018285268517738776,1.4781247544837228e-5,1.1245484205082832e-5,2.2069976512995026e-8,1.6790705353562745e-8
16000,200,75.59526217384865,20,13,14,0.014092830852362681,0.0013786736955820208,4.0289001805859925e-6,3.9413931518012474e-7,1.0465964095374147e-8,1.0238645129824397e-9
16000,200,75.59526217384865,20,13,15,0.05479638204519688,0.0002795557629257764,2.292616341037501e-5,1.1696285163246819e-7,1.0276806960973772e-8,5.2429384991992866e-11
16000,200,75.59526217384865,20,13,16,0.001586993622851196,1.49164211472962e-5,1.1608053966938314e-5,1.0910606014932275e-7,3.862368203044753e-9,3.6303051198803215e-11
16000,200,75.59526217384865,20,13,17,0.006424916783320356,0.00036683605900691247,6.236686478544584e-5,3.560888905192407e-6,7.428287318589355e-9,4.2412434853577986e-10
16000,200,75.59526217384865,20,13,18,0.01712454002142305,0.002529059936045537,4.4602880668875855e-5,6.58723436604751e-6,4.2281275369759896e-8,6.244365071925747e-9
16000,200,75.59526217384865,20,13,19,0.019420634825934258,0.0001443141210434013,6.368818191049286e-6,4.732648585200344e-8,7.265498425113037e-9,5.398968821360165e-11
16000,200,75.59526217384865,20,13,20,0.012312776162417549,0.00015087191676395052,2.8887593714443938e-5,3.53967827962258e-7,4.6172800693966565e-8,5.65768341044123e-10
32000,200,95.24406208515359,20,14,1,0.0012441752062102296,8.35200684255322e-6,8.490738525779307e-5,5.699736332284416e-7,8.86055318005674e-8,5.947988709247447e-10
32000,200,95.24406208515359,20,14,2,0.0067949392432922195,5.547236089164296e-5,0.00010417219726832627,8.504384682245058e-7,1.2594540521604358e-8,1.0281900574292043e-10
32000,200,95.24406208515359,20,14,3,0.029971374578185106,0.0016454200578385175,3.5680744279176224e-5,1.958862853033637e-6,5.214987552903949e-8,2.863013539316278e-9
32000,200,95.24406208515359,20,14,4,0.01890029309674901,2.636620036352318e-5,0.0002684811490780703,3.745353436682392e-7,6.252878392842831e-8,8.722861794285976e-11
32000,200,95.24406208515359,20,14,5,0.018661750399900257,0.00011429714140555105,2.754363237045254e-6,1.6869577485534015e-8,7.001884227975097e-8,4.2884259759172687e-10
32000,200,95.24406208515359,20,14,6,0.04041045644740393,0.0002914960486156484,3.427904914587998e-5,2.472678671504478e-7,5.940961500527919e-9,4.285442320196397e-11
32000,200,95.24406208515359,20,14,7,0.029203296013974978,9.647298532383622e-5,5.279358776988374e-5,1.7440343088942322e-7,7.478882935174624e-8,2.470646338339749e-10
32000,200,95.24406208515359,20,14,8,0.037637362228338134,8.82925036552434e-5,1.1648909264749818e-5,2.732687156973847e-8,8.938911832956364e-9,2.096955947382944e-11
32000,200,95.24406208515359,20,14,9,0.0026696093839575497,2.8854015012680378e-5,2.281231543577178e-5,2.465629975730659e-7,4.0994450500875246e-8,4.4308148499063185e-10
32000,200,95.24406208515359,20,14,10,0.03156636582014016,5.642927569594525e-5,1.9609679043242068e-5,3.5055032668160125e-8,3.488764832582092e-8,6.236653078717282e-11
32000,200,95.24406208515359,20,14,11,0.10145532472645868,0.0005693266071027628,5.1988617428833095e-6,2.9173927784001335e-8,1.0669876360225317e-7,5.987506838848883e-10
32000,200,95.24406208515359,20,14,12,0.09352167098403497,0.02689016960505609,3.75806781010013e-5,1.080552557900139e-5,4.413546861314899e-9,1.2690216332948174e-9
32000,200,95.24406208515359,20,14,13,0.023127174059560218,0.0006708761047826241,4.042873258214286e-5,1.1727619883932384e-6,2.3573640817176056e-8,6.83827271167798e-10
32000,200,95.24406208515359,20,14,14,0.08134579684720222,0.0006473106899144043,5.4735140963657614e-5,4.355559012630899e-7,2.9609509510919452e-8,2.3561822211345876e-10
32000,200,95.24406208515359,20,14,15,0.1033193926945728,0.00046857309352533956,1.34299264971105e-5,6.090727055637784e-8,5.8391918855704716e-8,2.64818456066432e-10
32000,200,95.24406208515359,20,14,16,0.11182087194715601,0.2909728671402992,4.871848577781002e-6,1.2677201708999737e-5,5.1957726898699264e-8,1.3520095580145116e-7
32000,200,95.24406208515359,20,14,17,0.10617728138089433,0.0005472374603937771,8.15028729448386e-5,4.2006561691035915e-7,3.5999505598738324e-8,1.855413678243792e-10
32000,200,95.24406208515359,20,14,18,0.029891603116851684,0.0003184447498859508,2.6644888848181836e-5,2.838564707228688e-7,2.905956364429585e-8,3.0958076889779465e-10
32000,200,95.24406208515359,20,14,19,0.04616466031691857,0.00019677541121519313,1.696626173952609e-5,7.23181565219126e-8,5.113230372444377e-8,2.1794983484520896e-10
32000,200,95.24406208515359,20,14,20,0.027917883624541062,0.003305533898832073,3.7869225621989244e-5,4.483792922826302e-6,2.789576925010806e-8,3.302915512161978e-9
64000,200,119.99999869857918,20,15,1,0.0282770962046186,0.0001938032573129839,2.5859704379627146e-5,1.7723513424635159e-7,3.5736320569412783e-9,2.4492668131892433e-11
64000,200,119.99999869857918,20,15,2,0.031256451043930156,8.012731932314169e-5,5.246048635854095e-5,1.3448481839445528e-7,2.2190079107531346e-8,5.6885266723210534e-11
64000,200,119.99999869857918,20,15,3,0.07623973133769368,0.0003311211097058508,5.828969554499963e-5,2.5316128919428505e-7,9.199962391903682e-8,3.995687947752668e-10
64000,200,119.99999869857918,20,15,4,0.10573704529264205,0.0002596633382775995,0.00024465543447149685,6.008116329220532e-7,1.369304527543136e-7,3.3626642749135356e-10
64000,200,119.99999869857918,20,15,5,0.10267896032098633,0.0006418054671124752,0.00011997542156905183,7.49918788049935e-7,2.0644478126996546e-8,1.2904044690528687e-10
64000,200,119.99999869857918,20,15,6,0.1217397177406383,0.0002032916450228271,6.577564761300891e-5,1.0983793829864241e-7,4.467949565878371e-8,7.460973575292255e-11
64000,200,119.99999869857918,20,15,7,0.02531536660220013,0.00017670518676433876,0.00023659909237494503,1.6514983750128348e-6,5.919156365052913e-8,4.131662983237611e-10
64000,200,119.99999869857918,20,15,8,0.05687929665725733,0.0009896065420176086,7.566556476490405e-6,1.3164568181637694e-7,7.28877722622201e-8,1.2681277811577752e-9
64000,200,119.99999869857918,20,15,9,0.01820477029338008,3.6584154573708624e-5,3.08121150851548e-5,6.191976953579614e-8,2.949184363387758e-8,5.926656303692895e-11
64000,200,119.99999869857918,20,15,10,0.0027409464390188987,1.0781282470634064e-5,0.00012028544716713441,4.731326977259713e-7,5.712172423955053e-8,2.2468350182599567e-10
64000,200,119.99999869857918,20,15,11,0.15688592167367688,0.0008221357695956406,5.5265609233856594e-5,2.8961065272737016e-7,3.27914335684909e-8,1.7183830254094056e-10
64000,200,119.99999869857918,20,15,12,0.07603897212834454,0.00012300550550112558,3.9643013224122114e-5,6.412907414095933e-8,1.1363226803950965e-8,1.8381882579694974e-11
64000,200,119.99999869857918,20,15,13,0.016318094952907813,7.128630544237447e-5,3.6544147974382213e-7,1.5964469517741858e-9,2.512118157937948e-8,1.0974297111942499e-10
64000,200,119.99999869857918,20,15,14,0.0038712454714868727,1.1662165404391717e-5,5.0664616480844415e-5,1.5262765998735292e-7,4.755850113724591e-8,1.4327045668702803e-10
64000,200,119.99999869857918,20,15,15,0.19838010999518474,0.0006234100747743573,0.0001226508470040244,3.8543064475452227e-7,5.8989826356992126e-8,1.8537570153092185e-10
64000,200,119.99999869857918,20,15,16,0.0046484825993502454,1.5228977489025963e-5,1.3659610374361364e-5,4.475049533993987e-8,6.366462912410498e-12,2.085728370616473e-14
64000,200,119.99999869857918,20,15,17,0.07716281694456484,0.00016076844831778962,0.0001630205851483879,3.3965279594436177e-7,6.066329660825431e-9,1.263917577368569e-11
64000,200,119.99999869857918,20,15,18,0.22375220628805437,0.00026187708631483303,1.4674246131107793e-5,1.7174573982676217e-8,3.933871539629763e-8,4.6041593681934035e-11
64000,200,119.99999869857918,20,15,19,0.04663233220310303,6.339695915117596e-5,0.00020047247051024897,2.725436284961933e-7,1.1030010682588909e-8,1.4995371315239355e-11
64000,200,119.99999869857918,20,15,20,0.018278254523465876,8.629694132777152e-5,4.066862140916783e-5,1.9200835786166915e-7,1.182777111807809e-7,5.584233816772308e-10
128000,200,151.1905243476973,20,16,1,0.029263646621984662,3.792768723593398e-5,0.00014799624943862,1.9181326009391797e-7,1.971545771084493e-8,2.55525814478789e-11
128000,200,151.1905243476973,20,16,2,0.054833019071907074,0.00011681621532016815,0.00010852779047354488,2.3120750881059926e-7,7.921272526800749e-8,1.6875471983168076e-10
128000,200,151.1905243476973,20,16,3,0.04797208003267883,0.0006336283426665964,0.00012507021276064734,1.6519615487696883e-6,1.3124544295806118e-7,1.7335256767563553e-9
128000,200,151.1905243476973,20,16,4,0.13013922905429354,0.0001359815668868984,0.0003295896627832917,3.4438592498729606e-7,2.613978722365573e-8,2.7313280173804467e-11
128000,200,151.1905243476973,20,16,5,0.18958233399274604,0.0011477636724928602,2.5626294615221923e-5,1.5514594319255792e-7,1.6471204844492604e-7,9.971947366899904e-10
128000,200,151.1905243476973,20,16,6,0.18407924402371423,0.07198973158442229,0.0002337166001993296,9.140191445487439e-5,1.7377629069059708e-7,6.796045142895631e-8
128000,200,151.1905243476973,20,16,7,0.03820555980064455,0.00010436337023263714,0.00013111666299892022,3.581619250084479e-7,2.41734028350038e-8,6.60327398163034e-11
128000,200,151.1905243476973,20,16,8,0.12535036870008298,9.957030659675445e-5,0.00026510352017794503,2.1058126160884113e-7,1.8650075617188122e-7,1.4814425888919197e-10
128000,200,151.1905243476973,20,16,9,0.05502298950185036,0.0003050999785199912,0.00018454232889553168,1.0232788347525616e-6,1.4948426496630418e-8,8.288834620438489e-11
128000,200,151.1905243476973,20,16,10,0.25773187929132746,0.0003584574520227449,1.085416249679838e-5,1.5096135732767708e-8,6.650566319876816e-8,9.249709675366285e-11
128000,200,151.1905243476973,20,16,11,0.110275662803474,0.0001929375406134107,0.0004020394807184857,7.034055082267323e-7,8.187123512470862e-8,1.432413494543598e-10
128000,200,151.1905243476973,20,16,12,0.0551565014141886,0.0010534002164318314,3.884759021133277e-5,7.419263167033676e-7,5.267041558454366e-8,1.0059199868329611e-9
128000,200,151.1905243476973,20,16,13,0.09493053494225023,0.0003038756147610533,7.693823016552415e-5,2.462816838059406e-7,1.863691068137996e-8,5.965733463944319e-11
128000,200,151.1905243476973,20,16,14,0.04465014518098087,7.064500617553437e-5,0.00035716749891889776,5.651067888928956e-7,2.5307940632046666e-8,4.004196660490495e-11
128000,200,151.1905243476973,20,16,15,0.014166762313521986,8.199678285540637e-5,0.000205083331906053,1.1870159928859008e-6,1.3450733149511507e-7,7.785242816234672e-10
128000,200,151.1905243476973,20,16,16,0.06815313001160916,0.0006668499331783429,5.12185551855282e-5,5.011521862186344e-7,1.4146193905162363e-7,1.3841460339060768e-9
128000,200,151.1905243476973,20,16,17,0.08558985173206679,0.0008499136698122485,0.00027620554618579263,2.7427418628570026e-6,3.565888562206965e-8,3.540954181734344e-10
128000,200,151.1905243476973,20,16,18,0.07172524644226996,0.00025784783456236264,3.427830432656265e-5,1.2322838862865147e-7,2.0909112663503038e-8,7.516696965613252e-11
128000,200,151.1905243476973,20,16,19,0.13982540730924597,0.0006418825651670028,3.428821736406462e-5,1.5740350298406903e-7,1.9144439988849626e-7,8.788447310974481e-10
