N,L,local_propose,local_accept,local_R,local_time,multipole_propose,multipole_accept,multipole_R,multipole_time
10000,64.6330407009565,8.248353004455567e-05,0.00031655645370483397,3,2.3144161701202393,0.00029384899139404296,0.0001030271053314209,3,1.1912858486175537
12689,69.97298277103957,6.691861152648926e-05,0.0004408414363861084,4,2.103541612625122,0.0003044285774230957,0.00010599040985107421,3,1.5466978549957275
16102,75.75556277156308,7.072854042053222e-05,0.00044243335723876954,4,2.673085927963257,0.0003181765079498291,0.00011080718040466309,3,2.0269386768341064
20433,82.01600916853565,7.255148887634277e-05,0.0004399068355560303,4,3.4055614471435547,0.0003363187313079834,0.00011571788787841797,3,2.6926376819610596
25929,88.79390937043094,7.737493515014648e-05,0.0004422705173492432,4,4.332080125808716,0.00036055207252502444,0.00011800742149353027,3,3.6384437084198
32903,96.13165530164527,8.408308029174805e-05,0.00044404959678649903,4,5.532066583633423,0.0004256606101989746,0.00010402703285217286,4,5.460342168807983
41753,104.07597382552271,9.414172172546386e-05,0.00044432902336120607,4,7.08567214012146,0.0004346888065338135,0.00010327553749084472,4,6.993711948394775
52983,112.67652287446205,0.000106964111328125,0.00044472622871398926,4,9.105928421020508,0.00044282937049865725,0.00010720157623291016,4,8.973584651947021
67233,121.98752447904248,0.00012151741981506347,0.0004484131336212158,4,11.789219617843628,0.00045527219772338866,0.00010439395904541016,4,11.633060216903687
85316,132.06814663058762,0.00013487076759338378,0.0004594247341156006,4,15.33371353149414,0.00046872615814208985,0.00010817742347717285,4,15.103008270263672
108263,142.98196913512925,7.686758041381836e-05,0.0005624136924743653,5,24.194555044174194,0.0004896323680877685,0.00010967278480529785,4,19.792316675186157
137382,154.7977104402667,8.091449737548828e-05,0.0005680034160614013,5,30.98345947265625,0.0005102102756500244,0.00012205123901367188,4,26.113531827926636
174332,167.5895592936327,8.889126777648926e-05,0.0005922281742095948,5,39.311424255371094,0.0005352168083190918,0.00012407779693603515,4,34.57569432258606
221221,181.43874717437893,9.743976593017578e-05,0.0005695643424987793,5,50.218993186950684,0.000575965166091919,0.00013281655311584472,4,46.588786125183105
280721,196.43229413802612,0.00010780096054077148,0.0005702872276306153,5,64.33426523208618,0.000574601411819458,0.00012096548080444336,5,64.80638074874878
356224,212.6648170006915,0.00012054896354675294,0.0005730700492858887,5,82.50436615943909,0.0005836799144744873,0.00010774636268615722,5,83.29575705528259
452035,230.23885080073825,0.00013410425186157228,0.0005750858783721924,5,106.10587859153748,0.0005908839702606202,0.00011122512817382813,5,106.54485893249512
573615,249.2650682852571,0.00015207505226135255,0.0005808374881744384,5,137.0427474975586,0.0006132044792175293,0.00014348292350769044,5,138.009526014328
727895,269.86351126159275,0.00016891026496887207,0.0005908021926879883,5,178.2716064453125,0.0006455671787261963,0.0001560075283050537,5,179.946457862854
923670,292.1641114758984,9.233474731445312e-05,0.0007145638465881348,6,277.0461599826813,0.0006837732791900635,0.0001287970542907715,5,241.2876889705658
1172102,316.30767048592065,0.00010237407684326171,0.0007173678874969482,6,353.7613060474396,0.0007486801147460938,0.00013663101196289063,5,322.00382113456726
1487352,342.4463240160202,0.00011400818824768066,0.0007177443504333496,6,453.1381034851074,0.000865936279296875,0.0001482713222503662,5,466.91334795951843
1887391,370.74492484338134,0.00013248348236083985,0.0007223682403564453,6,585.2138521671295,0.0009757764339447021,0.0001640923023223877,5,661.9660632610321
2395026,401.38209817807046,0.00015099620819091796,0.0007219443321228028,6,757.2715740203857,0.0007906332015991211,0.00011286520957946778,6,785.6008169651031
3039195,434.5510230823078,0.0001799149513244629,0.000724982500076294,6,985.9638907909393,0.0008131728172302246,0.00011602997779846192,6,1021.9805307388306
3856620,470.4609029329341,0.00021168947219848632,0.0007343473434448242,6,1290.663084745407,0.0008473613262176513,0.00047046399116516113,6,1337.1222522258759
4893900,509.33824204370427,0.0002476067543029785,0.0007379653453826905,6,1700.4279685020447,0.0008827104568481446,0.00012444210052490234,6,1762.5140750408173
6210169,551.4283129012158,0.0002948737144470215,0.0007439849376678466,6,2269.1948750019073,0.0009322299957275391,0.00014762735366821288,6,2340.490079164505
