r,rho
0.0235,0.0
0.07050000000000001,0.0
0.1175,0.0
0.16449999999999998,0.0
0.2115,0.0
0.25849999999999995,0.0
0.3055,0.0
0.35250000000000004,0.0
0.39949999999999997,0.0
0.4465,0.0
0.4935,0.0
0.5405,0.0
0.5874999999999999,0.0
0.6345000000000001,0.0
0.6815,0.0018225366842781671
0.7284999999999999,0.013955870786089456
0.7755000000000001,0.04820643001663856
0.8225,0.14420393776149584
0.8694999999999999,0.25079382814540413
0.9165,0.2514279823759012
0.9635,0.3259722326908763
1.0105,0.3232957312473749
1.0575,0.3462887201487194
1.1044999999999998,0.3419032204349274
1.1515,0.3731338333772825
1.1985000000000001,0.4005725069846708
1.2454999999999998,0.39164603703214346
1.2925,0.4102965376394251
1.3395000000000001,0.39097240382805215
1.3864999999999998,0.4045438499483931
1.4335,0.43879750273095247
1.4805000000000001,0.455307684906145
1.5274999999999999,0.43987300323479317
1.5745,0.4577943987511798
1.6215000000000002,0.4701119683880823
1.6684999999999999,0.45912667342425867
1.7155,0.45948085550497414
1.7625000000000002,0.46486706091046454
1.8094999999999999,0.4749622356220009
1.8565,0.48234699283811433
1.9035,0.4826502704089959
1.9505,0.47096177336927386
1.9975,0.49323896777663767
2.0445,0.47573270061560935
2.0915,0.46136437044076206
2.1385,0.46717418900257424
2.1855,0.46515138851794646
2.2325,0.4602505908593034
2.2794999999999996,0.46793856968013403
2.3265000000000002,0.4668556211100414
2.3735,0.4639505108348207
2.4204999999999997,0.4579550321281175
2.4675000000000002,0.4685150833996056
2.5145,0.45859434059635595
2.5614999999999997,0.48013843833541114
2.6085000000000003,0.4728819639075979
2.6555,0.47147560312220804
2.7024999999999997,0.47694996065554546
2.7495000000000003,0.4694889913614578
2.7965,0.4676678231338397
2.8434999999999997,0.467149009127275
2.8905000000000003,0.4793336832692178
2.9375,0.490505596526564
2.9844999999999997,0.4933053907571444
3.0315000000000003,0.48607190818382023
3.0785,0.488246384001757
3.1254999999999997,0.48602032610321444
3.1725000000000003,0.4795478524075284
3.2195,0.48924957795856633
3.2664999999999997,0.483799819573946
3.3135000000000003,0.4761087632439016
3.3605,0.4833281235594708
3.4074999999999998,0.47952762700042867
3.4545000000000003,0.48593225149879615
3.5015,0.4817772206184823
3.5484999999999998,0.48064499202084393
3.5955000000000004,0.4735958388329244
3.6425,0.46989018197597865
3.6895,0.48215287837324317
3.7365,0.48240715277766266
3.7835,0.47652776016445497
3.8305,0.48143362213185553
3.8775,0.4817687278947508
3.9245,0.4829939991081069
3.9715,0.47711717626534844
