step_n,E_lj,E_elec,E_total
5700,-5.355873532931523,-4489.384541976376,-4494.740415509307
5800,-5.410310185251947,-4520.794968043051,-4526.205278228303
5900,-4.542081958684633,-4561.863386453257,-4566.405468411941
6000,-4.564985161191479,-4598.206790794312,-4602.7717759555035
6100,-2.621490425767666,-4637.910914033525,-4640.532404459293
6200,-2.7770561954175625,-4666.270813876725,-4669.047870072142
6300,-3.614538534265162,-4694.501445201157,-4698.115983735423
6400,-4.921431566097672,-4724.110444587822,-4729.031876153919
6500,-5.300135876384096,-4740.807512796715,-4746.107648673099
6600,1.828248470406639,-4759.115778819733,-4757.2875303493265
6700,1.6557645067872169,-4778.031455258475,-4776.375690751688
6800,1.7842536780671256,-4815.1656702750415,-4813.381416596974
6900,3.607588346186571,-4826.858507406441,-4823.250919060255
7000,3.3461638410604486,-4841.7949704721,-4838.44880663104
7100,3.0405605248128884,-4862.185956356048,-4859.145395831236
7200,2.4210665257380706,-4935.9474460873225,-4933.526379561585
7300,2.909669583560337,-4929.664406657148,-4926.754737073587
7400,0.5186513455373158,-4979.507634080421,-4978.988982734883
7500,1.610533155030464,-4988.099805726256,-4986.489272571225
7600,1.2646457336932444,-5003.82031803457,-5002.555672300877
7700,7.29170642548132,-5030.972916147742,-5023.68120972226
7800,9.027318637755762,-5052.833219344882,-5043.805900707127
7900,10.89535083321351,-5118.4477524696595,-5107.552401636446
8000,7.636075424336812,-5113.552461181532,-5105.916385757195
8100,6.928810945625915,-5156.746623741121,-5149.817812795495
8200,11.899688454429738,-5187.291412663521,-5175.391724209092
8300,12.307383654416993,-5200.756475990881,-5188.449092336464
8400,10.587832159430812,-5208.467298295081,-5197.87946613565
8500,12.260124411202295,-5217.020660013513,-5204.760535602311
8600,8.414527674711234,-5316.555683137332,-5308.141155462621
8700,5.145662419548774,-5351.919091404833,-5346.773428985284
8800,5.941849080143711,-5370.843771455207,-5364.901922375064
8900,6.959715361971508,-5388.5680569301185,-5381.608341568147
9000,30.574047197421553,-5501.455127541601,-5470.881080344179
9100,32.61983176392408,-5510.7067535433,-5478.086921779376
9200,20.43021800813154,-5516.144826604128,-5495.714608595997
9300,31.834260334082696,-5520.438210641245,-5488.603950307162
9400,28.328246773198277,-5545.043995312989,-5516.715748539791
9500,28.921893233691762,-5600.944729091088,-5572.022835857397
9600,29.30792081821522,-5605.720139072589,-5576.412218254373
9700,29.4693015926742,-5602.969861334297,-5573.500559741623
9800,30.468703515950754,-5615.0254155347575,-5584.556712018807
9900,27.920911919763704,-5631.85776091487,-5603.936848995106
10000,25.358616166163113,-5662.448947964226,-5637.090331798063
10100,24.85017303140734,-5669.912996802337,-5645.06282377093
10200,23.992085088068443,-5706.412956506636,-5682.420871418568
10300,28.883286464368318,-5714.908338577762,-5686.025052113394
10400,20.558130619109658,-5750.517903840002,-5729.959773220892
10500,15.143935800687661,-5766.306844706627,-5751.16290890594
10600,14.624006854463588,-5794.990231344046,-5780.366224489582
10700,14.917480546938238,-5821.29002305934,-5806.372542512401
10800,23.27115954548437,-5828.130500052527,-5804.859340507042
10900,23.144416633736146,-5865.062712208175,-5841.918295574439
11000,23.60295824045607,-5868.069282153537,-5844.4663239130805
11100,27.5018714939571,-5885.055251785158,-5857.553380291201
11200,29.870993137034528,-5914.227706075645,-5884.35671293861
11300,38.308098213435116,-5946.705398757419,-5908.397300543984
11400,48.33981023709701,-5977.098466870625,-5928.7586566335285
11500,55.416019496677116,-6005.99387410075,-5950.577854604073
11600,61.714281892926714,-6087.76154620614,-6026.047264313213
11700,59.999738487206926,-6107.9219319518925,-6047.922193464686
11800,65.04913098099244,-6136.897408708628,-6071.848277727636
11900,64.60208567752134,-6169.717589829817,-6105.115504152296
12000,53.79215224448205,-6155.2800079084645,-6101.487855663982
12100,45.76876340463732,-6251.060823538929,-6205.292060134292
12200,48.09949448276762,-6268.3847834555,-6220.285288972732
12300,54.04394172109238,-6310.078578160015,-6256.0346364389225
12400,52.073288802414424,-6331.829954207741,-6279.756665405327
12500,58.52278476347244,-6419.734603145906,-6361.211818382433
12600,55.045221293112256,-6418.142376996003,-6363.097155702891
12700,50.271993628934744,-6430.673043237188,-6380.401049608253
12800,39.498159622772285,-6439.446332101816,-6399.948172479043
12900,41.289804060392164,-6442.6609691541535,-6401.371165093761
13000,39.18196251810072,-6441.890486077229,-6402.7085235591285
13100,33.42113656651188,-6474.4367364661175,-6441.015599899606
13200,31.476068780209502,-6513.327436343548,-6481.8513675633385
13300,30.056218800380933,-6530.063075784485,-6500.006856984104
13400,30.308276110910306,-6544.9409806773965,-6514.632704566487
13500,28.491579329907506,-6552.8398714518635,-6524.348292121956
13600,28.411914358597976,-6562.005368773271,-6533.593454414673
13700,28.434563401010124,-6608.678652109074,-6580.244088708064
13800,26.23745475193506,-6613.456111477843,-6587.218656725908
13900,26.878118234492135,-6678.2942603521615,-6651.41614211767
14000,27.81333774219616,-6703.435614180579,-6675.622276438383
14100,27.93023026926589,-6715.2356134860665,-6687.305383216801
14200,36.908032298152904,-6736.199637892693,-6699.291605594541
14300,37.15979093564062,-6755.618677913276,-6718.458886977635
14400,36.638559986184575,-6766.946105756505,-6730.307545770321
14500,39.32089999058924,-6789.196747608612,-6749.875847618023
14600,36.04379659485309,-6834.794250499755,-6798.750453904902
14700,36.88318958670434,-6871.016039707174,-6834.13285012047
14800,35.376911620097665,-6887.6965846263065,-6852.319673006209
14900,35.899616468889306,-6902.907665090625,-6867.008048621736
15000,31.80101198084035,-6920.210496421169,-6888.409484440329
15100,31.81853888871027,-6928.353239451495,-6896.534700562785
15200,30.920713042577304,-6936.348764772108,-6905.42805172953
15300,31.62721697613142,-6957.004681818083,-6925.377464841951
15400,31.99300035441233,-6957.460677350658,-6925.467676996246
15500,53.05477413040048,-7070.021901336976,-7016.967127206575
15600,54.75353469094498,-7084.548997866558,-7029.795463175613
