r,rho
0.0047,0.0
0.014100000000000001,0.0
0.0235,0.0
0.0329,0.0
0.042300000000000004,0.0
0.051699999999999996,0.0
0.0611,0.0
0.07050000000000001,0.0
0.0799,0.0
0.08929999999999999,0.0
0.09870000000000001,0.0
0.1081,0.0
0.1175,0.0
0.1269,0.0
0.13629999999999998,0.0
0.1457,0.0
0.15510000000000002,0.0
0.16449999999999998,0.0
0.1739,0.0
0.18330000000000002,0.0
0.19269999999999998,0.0
0.2021,0.0
0.21150000000000002,0.0
0.22089999999999999,0.0
0.2303,0.0
0.2397,0.0
0.24910000000000002,0.0
0.2585,0.0
0.2679,0.0
0.2773,0.0
0.28669999999999995,0.0
0.29610000000000003,0.0
0.3055,0.0
0.31489999999999996,0.0
0.32430000000000003,0.0
0.3337,0.0
0.34309999999999996,0.0
0.35250000000000004,0.0
0.3619,0.0
0.37129999999999996,0.0
0.38070000000000004,0.0
0.3901,0.0
0.39949999999999997,0.0
0.40890000000000004,0.0
0.4183,0.0
0.42769999999999997,0.06940979432486742
0.43710000000000004,4.0538481807212206
0.4465,43.34486364792356
0.45589999999999997,174.34173407131794
0.4653,343.7151692518458
0.4747,418.7377803997497
0.4841,364.20771089706375
0.4935,259.9772124502264
0.5029,164.78119337568117
0.5123,102.56601405329474
0.5217,64.31567914244738
0.5311,42.800717901664385
0.5405,30.16612160789166
0.5499,23.48914559242686
0.5592999999999999,19.472629591083116
0.5687,17.10358437249561
0.5781000000000001,17.083781736596425
0.5874999999999999,18.70572190143677
0.5969,21.090919892345156
0.6063000000000001,24.95525275921242
0.6156999999999999,30.74148034274303
0.6251,37.630507175166976
0.6345000000000001,44.93395756210272
0.6438999999999999,50.950737689569664
0.6533,55.601081994570684
0.6627000000000001,56.81522171695453
0.6720999999999999,54.48052197238462
0.6815,49.06496571162361
0.6909000000000001,42.80257534048167
0.7002999999999999,36.388307432698575
0.7097,29.95838387766283
0.7191000000000001,23.935971081620483
0.7284999999999999,19.617966933588605
0.7379,15.70319768714403
0.7473000000000001,12.552028887234165
0.7566999999999999,10.466314695096456
0.7661,8.590332859479537
