step_n,dE_pme,dE_pdmk,E_pme
1000,3.252665885102852,3.261936565378806,-3012.600561773921
2000,1.127333836077427,1.1257364165475663,-3410.3170322285764
3000,0.46569575679503994,0.4538559212837843,-3781.755923811494
4000,0.023785583384859567,0.023879617431811346,-4052.8560360957367
5000,0.3892793532394921,0.38679679083031343,-4324.29911006729
6000,2.008374213398833,2.012244443066151,-4602.71308517469
7000,0.19229583115585433,0.1923181521138394,-4846.554679120602
8000,-1.9627494341507188,-1.9599704904693682,-5118.616183621574
9000,0.0030669473342154192,0.005760017354783933,-5506.655143924767
10000,0.348159971701711,0.35087262432967276,-5664.144789582631
11000,0.28796993822406786,0.2809178558478429,-5870.466713489392
12000,-0.38882917322273586,-0.3888033483448636,-6158.558966379975
13000,1.179283268477675,1.168725382746775,-6436.462285930108
14000,0.11851509808682728,0.11345432952467246,-6698.484499209553
15000,0.24868311092683162,0.2501482054685308,-6922.211859041592
16000,0.07095350027255957,0.07345473320764415,-7143.738672372127
17000,-0.12860250506753276,-0.13032956835156093,-7380.3957656425255
18000,-0.5887309670574182,-0.5829779667820854,-7640.9128469674
19000,0.18879556036028972,0.18619536783979085,-7827.648347284526
20000,1.9958029943883144,1.99207443350358,-8208.559276028198
21000,-0.47027144609396976,-0.47065733424367107,-8502.56862794677
22000,-0.48520798772401075,-0.48826636698057974,-8699.73101655789
23000,2.352146445884766,2.354290315690036,-8895.215606292391
24000,0.6071681749237826,0.6080046588375041,-9179.702411915237
25000,-0.9978318267941965,-0.99155216287989,-9321.092169273863
26000,-8.36100204891361,-8.361704263483015,-9508.944006142976
27000,0.6385412985632184,0.6372112128244596,-9891.988603848602
28000,0.317619271627121,0.3153477978236431,-10225.809112596935
29000,0.6714814216668653,0.6793850356811527,-10517.404449930724
30000,-0.8449550669341788,-0.8426259071251138,-10675.133055655882
31000,0.19241631412996685,0.19332925744768525,-10820.362075964205
32000,-0.03248893757051769,-0.03676000871158382,-10920.707168085226
33000,2.0696886700481323,2.06860533317275,-11021.078161283423
34000,-0.27515249161505717,-0.2763365008398109,-11167.00934203554
35000,2.479103068864575,2.4812985602064312,-11336.703417558329
36000,-0.005456045914800714,-0.0003944190439532027,-11480.590475734396
37000,1.8590240917597978,1.8660324199345089,-11535.079521391692
38000,1.130066505454881,1.1410081597019863,-11662.35192568702
39000,-0.3154004904831191,-0.3126032530840552,-11792.160049125348
40000,-3.277990222409491,-3.279451616298424,-11965.575671282002
41000,2.8531757118685768,2.8537697600155485,-12123.32483374687
42000,-0.00028499435278155554,0.003341897096863571,-12328.950023939962
43000,-16.159900591624194,-16.163684287744672,-12618.240795502505
44000,-0.011326595352454434,-0.010526690814404886,-12847.798360994619
45000,1.1315944809437466,1.1381456818689444,-13065.443456219336
46000,-0.026975436605203712,-0.025043325459921044,-13214.961012703916
47000,0.17152359393495126,0.17439721698683067,-13372.742829229004
48000,-0.6118923032057534,-0.6057540947839014,-13502.189655611932
49000,-0.6552163899115191,-0.6536974630095931,-13688.65051177951
50000,1.5571581577970928,1.5584022859052005,-13705.485823361125
51000,-0.2766057658447744,-0.2725308145042048,-13836.732458089342
52000,0.882656492171447,0.8793093865739205,-14053.921836507048
53000,1.1172103501466404,1.1172905104190791,-14205.980767290674
54000,0.32323219331180475,0.31988453458172406,-14514.830176018626
55000,3.323549597000713,3.325299920449558,-14691.080733012952
56000,0.03738848877474636,0.037419081849413664,-14771.993250482474
57000,0.4628220451140112,0.4586239560478889,-14805.729562645181
58000,-0.03158678649371998,-0.031676020602999545,-15027.767474453922
59000,1.9801875942931966,1.977567280041205,-15092.988343734049
60000,-0.2902499588915081,-0.28524171748226623,-15284.306217838854
61000,3.856047772774032,3.8576217501422407,-15432.193406126567
62000,-2.115949103824191,-2.1191281316329484,-15598.335151940895
63000,-1.1204163646845031,-1.125053519470543,-15665.867823621851
64000,-0.544231391398844,-0.5417522693010036,-15733.967208779557
65000,-1.6892540805123937,-1.6880283707839243,-15856.23780372187
66000,-0.32861574397872095,-0.3302877129142878,-15928.942254547337
67000,-0.14266927582731317,-0.14127923046788887,-16026.00899349359
68000,-5.6391836186421695,-5.636878776850791,-16139.542521672707
69000,-0.2954913648720229,-0.2974123153363533,-16287.727963401667
70000,-0.3263256937407909,-0.3234854415964928,-16325.889711821488
71000,7.703326563141253,7.69945198658802,-16425.736941150608
72000,-1.9593969429141338,-1.9646603514124694,-16527.147227757814
73000,0.4725392126980401,0.4731766253260985,-16614.786146347404
74000,2.0153360586354396,2.0222321438866393,-16744.087988878156
75000,-0.026398088692283828,-0.03332458045198471,-16828.817437700585
76000,-0.07514042951697388,-0.07390200996481781,-16905.740183884882
77000,0.7994612465591626,0.7973732680906782,-16995.951285958727
78000,0.7796366141117173,0.782336972380979,-17236.365658584167
79000,0.3095090255701983,0.31293015806697916,-17381.91682952169
80000,-0.15994147965280747,-0.1573699828802116,-17397.51305621742
81000,-34.645566830681325,-34.64519980148916,-17546.02286742485
82000,2.143289255936863,2.139858453942984,-17600.740599415243
83000,0.040227747675242266,0.04054962595906397,-17604.085273311826
84000,0.32563688547998065,0.3257305657899861,-17604.27139969593
85000,0.47945458219702325,0.48218800529315603,-17780.557534399948
86000,-1.2509931974010378,-1.2532651361584157,-17856.484280783472
87000,0.5024485169837278,0.5026610180538594,-17923.170889989815
88000,-2.650119714797727,-2.651215195310615,-18054.04743961017
89000,37.14042384302503,37.133350168612665,-18185.704699435246
90000,0.6007230863712416,0.6009715224776864,-18322.300849237803
91000,0.060313332880417035,0.059705523346712856,-18421.72230001538
92000,0.05161565526490139,0.051094805602879295,-18493.165712482707
93000,-0.08442679355990039,-0.08610846972098092,-18486.477312942377
94000,0.3667591965361913,0.36308861670327364,-18547.874649735553
95000,-0.17883495863352836,-0.18358435510822205,-18581.017938339475
96000,69.06083703065359,69.04047105867605,-18525.75086546073
97000,0.1257338934264311,0.12614153803416772,-18724.480002664746
98000,-1.0658180230313292,-1.0675573160524179,-18711.86568438959
