r,rho
0.0235,0.0
0.07050000000000001,0.0
0.1175,0.0
0.16449999999999998,0.0
0.2115,0.0
0.25849999999999995,0.0
0.3055,0.0
0.35250000000000004,0.0
0.39949999999999997,0.0
0.4465,0.0
0.4935,0.0
0.5405,0.0
0.5874999999999999,0.0
0.6345000000000001,0.0
0.6815,0.006834512566043128
0.7284999999999999,0.031101654894713643
0.7755000000000001,0.07705991367623245
0.8225,0.17736145924244717
0.8694999999999999,0.2838224796199105
0.9165,0.3207092400446114
0.9635,0.33235490577852983
1.0105,0.3703394049609352
1.0575,0.3818637362077135
1.1044999999999998,0.3927290162682271
1.1515,0.3993074641188883
1.1985000000000001,0.42163976277680315
1.2454999999999998,0.4380269679241423
1.2925,0.44019156168477996
1.3395000000000001,0.44062530941224826
1.3864999999999998,0.4563915107172892
1.4335,0.44549119850131425
1.4805000000000001,0.4477771506774174
1.5274999999999999,0.4620026965934096
1.5745,0.45659933599106106
1.6215000000000002,0.4680193624681901
1.6684999999999999,0.477978232200619
1.7155,0.48752428800058284
1.7625000000000002,0.48114830762171906
1.8094999999999999,0.4792924124877886
1.8565,0.4773123119047226
1.9035,0.47575860391477254
1.9505,0.49109737771079703
1.9975,0.4866624482062825
2.0445,0.483934115694861
2.0915,0.48332719147254416
2.1385,0.4879045809076013
2.1855,0.4864617816865465
2.2325,0.48411229123411237
2.2794999999999996,0.48329216765832467
2.3265000000000002,0.47795912972701254
2.3735,0.4777739897423759
2.4204999999999997,0.48670589620051924
2.4675000000000002,0.48064503622649457
2.5145,0.47686849838103046
2.5614999999999997,0.49049139317558493
2.6085000000000003,0.49151111855282326
2.6555,0.4905915065776753
2.7024999999999997,0.4919587741917567
2.7495000000000003,0.49051130429446843
2.7965,0.4870964811799022
2.8434999999999997,0.48965716912780477
2.8905000000000003,0.4875146491712499
2.9375,0.4898924951859728
2.9844999999999997,0.4844675172567756
3.0315000000000003,0.49192070560097356
3.0785,0.48460675349813104
3.1254999999999997,0.4892697042862899
3.1725000000000003,0.49079645382098097
3.2195,0.49125034822396185
3.2664999999999997,0.4784846456932451
3.3135000000000003,0.4819680889675736
3.3605,0.4774816390655944
3.4074999999999998,0.48512281462116263
3.4545000000000003,0.4828999406201955
3.5015,0.4800512247720363
3.5484999999999998,0.48261126698820195
3.5955000000000004,0.48384300443189476
3.6425,0.48435643889367364
3.6895,0.48759390714740514
3.7365,0.4860448728476233
3.7835,0.48208614197992994
3.8305,0.48394311706163423
3.8775,0.48037531575704356
3.9245,0.48373594647964946
3.9715,0.4819873617156696
