step_n,E_lj,E_elec,E_total
17900,13.435285816623937,-1748.095015714827,-1734.659729898203
18000,13.36295184377496,-1749.0670624733486,-1735.7041106295737
18100,12.428742947138813,-1765.183277502676,-1752.7545345555372
18200,12.245832209006045,-1771.8601503379207,-1759.6143181289146
18300,18.119174990218156,-1767.3020329545868,-1749.1828579643686
18400,10.973358029609194,-1775.9718897012046,-1764.9985316715954
18500,9.84672388781357,-1772.084007647535,-1762.2372837597213
18600,4.5477321410236256,-1782.7136102987408,-1778.1658781577173
18700,9.195780846768766,-1794.064771790962,-1784.8689909441932
18800,7.879655072498173,-1806.2495293268169,-1798.3698742543186
18900,8.501039691357144,-1805.8402166605156,-1797.3391769691584
19000,9.660089783291792,-1796.7494664717399,-1787.089376688448
19100,7.637351253082388,-1792.5646307003692,-1784.9272794472868
19200,12.045397339997207,-1809.8848902824277,-1797.8394929424305
19300,12.831499873820869,-1813.7205011664055,-1800.8890012925847
19400,10.118076830229517,-1828.4536048347054,-1818.335528004476
19500,10.232733298627238,-1825.9050782586048,-1815.6723449599776
19600,19.866796789227486,-1833.4521095284833,-1813.5853127392559
19700,19.721384543565943,-1840.4331599446075,-1820.7117754010415
19800,24.758494572565,-1844.6339544259854,-1819.8754598534204
19900,24.80342793233173,-1847.99002435355,-1823.1865964212184
20000,25.378102475744907,-1861.6455224558317,-1836.2674199800867
20100,31.071395442579405,-1857.6238154698988,-1826.5524200273194
20200,28.94347804003251,-1850.188956319775,-1821.2454782797424
20300,27.26420190219325,-1858.2388082004486,-1830.9746062982554
20400,16.000365734331844,-1846.9651410530128,-1830.964775318681
20500,15.946114651226322,-1839.6499929809645,-1823.7038783297382
20600,13.62242439897903,-1853.4870290293227,-1839.8646046303436
20700,20.499875335517437,-1861.46335556141,-1840.9634802258927
20800,13.62864517307367,-1868.571360967302,-1854.9427157942284
20900,17.21055343219862,-1876.424856436129,-1859.2143030039304
21000,16.624329972289047,-1887.8118629013684,-1871.1875329290792
21100,17.62178656137869,-1885.2825355090567,-1867.660748947678
21200,15.973208384835283,-1890.6394274807717,-1874.6662190959364
21300,13.566599582038313,-1903.2377659443337,-1889.6711663622953
21400,10.627872890803786,-1912.7544774186201,-1902.1266045278164
21500,10.139445363844588,-1924.7804515710636,-1914.641006207219
21600,8.310535241446743,-1924.0884781163284,-1915.7779428748815
21700,7.9800361419577195,-1924.1708494672666,-1916.190813325309
21800,7.82727094937595,-1916.7587938496335,-1908.9315229002575
21900,7.873603355346574,-1921.4056710690222,-1913.5320677136756
22000,12.71676914404477,-1939.1299432165752,-1926.4131740725304
22100,18.13568510684635,-1939.5954215775407,-1921.4597364706945
22200,11.590663307216788,-1927.9936711253802,-1916.4030078181634
22300,8.30116366223253,-1915.2106790533771,-1906.9095153911446
22400,6.6407413181547525,-1919.2252293145111,-1912.5844879963563
22500,5.525452565518458,-1928.6553380714847,-1923.1298855059663
22600,9.549249649102364,-1913.927655835288,-1904.3784061861857
22700,7.22289277241871,-1905.3368235648297,-1898.113930792411
22800,2.8986061991973444,-1904.221152668455,-1901.3225464692578
22900,2.1574278931786797,-1895.8054946687118,-1893.6480667755332
23000,14.588001564350906,-1904.04287045531,-1889.4548688909592
