step_n,E_lj,E_elec,E_total
5000,7.608020989630936 kJ mol^-1,-1028.3618397108348 kJ mol^-1,-1020.7538187212039 kJ mol^-1
5100,8.778265171134242 kJ mol^-1,-1020.4264394707924 kJ mol^-1,-1011.6481742996582 kJ mol^-1
5200,8.463773641690883 kJ mol^-1,-1036.4932663631084 kJ mol^-1,-1028.0294927214175 kJ mol^-1
5300,7.267440505004952 kJ mol^-1,-1061.6640644756903 kJ mol^-1,-1054.3966239706854 kJ mol^-1
5400,0.20356168344598652 kJ mol^-1,-1044.1493188019538 kJ mol^-1,-1043.9457571185078 kJ mol^-1
5500,-2.097920015747573 kJ mol^-1,-1051.6041687439615 kJ mol^-1,-1053.702088759709 kJ mol^-1
5600,0.5714453415811761 kJ mol^-1,-1072.204664350264 kJ mol^-1,-1071.6332190086828 kJ mol^-1
5700,1.9656028290746337 kJ mol^-1,-1081.5529700533718 kJ mol^-1,-1079.5873672242972 kJ mol^-1
5800,-3.238896236815079 kJ mol^-1,-1080.3568556027194 kJ mol^-1,-1083.5957518395344 kJ mol^-1
5900,-0.3155394484860773 kJ mol^-1,-1080.9847555674871 kJ mol^-1,-1081.3002950159732 kJ mol^-1
6000,-1.746327104323473 kJ mol^-1,-1084.5567782685596 kJ mol^-1,-1086.303105372883 kJ mol^-1
6100,3.3019452708625945 kJ mol^-1,-1085.2470929702574 kJ mol^-1,-1081.9451476993947 kJ mol^-1
6200,6.118411577112805 kJ mol^-1,-1099.144294073355 kJ mol^-1,-1093.0258824962423 kJ mol^-1
6300,8.49010121306875 kJ mol^-1,-1113.6092309201663 kJ mol^-1,-1105.1191297070975 kJ mol^-1
6400,7.432159397466636 kJ mol^-1,-1125.9592248965178 kJ mol^-1,-1118.527065499051 kJ mol^-1
6500,7.0942840174781905 kJ mol^-1,-1133.9913817192657 kJ mol^-1,-1126.8970977017875 kJ mol^-1
6600,7.826064958032193 kJ mol^-1,-1140.9307511226502 kJ mol^-1,-1133.104686164618 kJ mol^-1
6700,12.643991941433297 kJ mol^-1,-1171.7033424433484 kJ mol^-1,-1159.059350501915 kJ mol^-1
6800,12.70207263761848 kJ mol^-1,-1163.525113642075 kJ mol^-1,-1150.8230410044564 kJ mol^-1
6900,12.402643912525892 kJ mol^-1,-1169.050594645747 kJ mol^-1,-1156.647950733221 kJ mol^-1
7000,13.242813382604323 kJ mol^-1,-1181.8817573619126 kJ mol^-1,-1168.6389439793084 kJ mol^-1
7100,14.28097517092854 kJ mol^-1,-1192.3654126453202 kJ mol^-1,-1178.0844374743917 kJ mol^-1
7200,14.219451482292696 kJ mol^-1,-1196.4348679652137 kJ mol^-1,-1182.215416482921 kJ mol^-1
7300,12.860538159001269 kJ mol^-1,-1197.9011274608506 kJ mol^-1,-1185.0405893018494 kJ mol^-1
7400,12.2439751994004 kJ mol^-1,-1204.911874283001 kJ mol^-1,-1192.6678990836006 kJ mol^-1
7500,17.861196434754042 kJ mol^-1,-1214.482379391503 kJ mol^-1,-1196.621182956749 kJ mol^-1
7600,17.701537058510354 kJ mol^-1,-1225.2519505906896 kJ mol^-1,-1207.5504135321792 kJ mol^-1
7700,17.717819562136874 kJ mol^-1,-1236.8365282595005 kJ mol^-1,-1219.1187086973637 kJ mol^-1
7800,17.655071579473823 kJ mol^-1,-1242.5978801689048 kJ mol^-1,-1224.942808589431 kJ mol^-1
7900,19.767877070222347 kJ mol^-1,-1248.549685399518 kJ mol^-1,-1228.7818083292957 kJ mol^-1
8000,18.096962681643426 kJ mol^-1,-1255.9728057680602 kJ mol^-1,-1237.8758430864168 kJ mol^-1
8100,8.358812611833173 kJ mol^-1,-1251.2008611932213 kJ mol^-1,-1242.842048581388 kJ mol^-1
8200,9.389684050747503 kJ mol^-1,-1281.4750821892096 kJ mol^-1,-1272.085398138462 kJ mol^-1
8300,12.060148623502815 kJ mol^-1,-1292.3081454480407 kJ mol^-1,-1280.247996824538 kJ mol^-1
8400,11.069322595701077 kJ mol^-1,-1298.080367065954 kJ mol^-1,-1287.011044470253 kJ mol^-1
8500,4.2098997910784846 kJ mol^-1,-1313.2687057565715 kJ mol^-1,-1309.058805965493 kJ mol^-1
8600,1.4057699460581872 kJ mol^-1,-1321.7437354975725 kJ mol^-1,-1320.3379655515143 kJ mol^-1
8700,1.711969104871961 kJ mol^-1,-1339.1678432866422 kJ mol^-1,-1337.4558741817702 kJ mol^-1
8800,2.286766912592194 kJ mol^-1,-1337.903790350404 kJ mol^-1,-1335.617023437812 kJ mol^-1
8900,2.120300411251121 kJ mol^-1,-1354.7039094420836 kJ mol^-1,-1352.5836090308326 kJ mol^-1
9000,-0.5296494298050495 kJ mol^-1,-1365.7346033942333 kJ mol^-1,-1366.2642528240383 kJ mol^-1
9100,-0.394591268411319 kJ mol^-1,-1377.8594808231512 kJ mol^-1,-1378.2540720915626 kJ mol^-1
9200,0.5736147172199599 kJ mol^-1,-1374.9775933935255 kJ mol^-1,-1374.4039786763055 kJ mol^-1
9300,0.42094152475050733 kJ mol^-1,-1392.6841938768744 kJ mol^-1,-1392.2632523521238 kJ mol^-1
9400,-0.38235015396494726 kJ mol^-1,-1393.4231209590562 kJ mol^-1,-1393.8054711130212 kJ mol^-1
9500,-2.6537552063113576 kJ mol^-1,-1415.8651677767598 kJ mol^-1,-1418.5189229830712 kJ mol^-1
9600,-2.007562803918228 kJ mol^-1,-1411.6044900194288 kJ mol^-1,-1413.612052823347 kJ mol^-1
9700,-1.9377524412040041 kJ mol^-1,-1429.4410243591908 kJ mol^-1,-1431.378776800395 kJ mol^-1
9800,0.02325381104439569 kJ mol^-1,-1435.7242946449132 kJ mol^-1,-1435.7010408338688 kJ mol^-1
9900,1.3533779837619369 kJ mol^-1,-1442.1210708181795 kJ mol^-1,-1440.7676928344176 kJ mol^-1
10000,1.7961865317233732 kJ mol^-1,-1456.619313442235 kJ mol^-1,-1454.8231269105115 kJ mol^-1
10100,4.3377849241900135 kJ mol^-1,-1464.946323732058 kJ mol^-1,-1460.6085388078682 kJ mol^-1
10200,6.110714217557635 kJ mol^-1,-1472.505449112127 kJ mol^-1,-1466.3947348945694 kJ mol^-1
10300,2.1993602473045057 kJ mol^-1,-1484.6194593482878 kJ mol^-1,-1482.4200991009834 kJ mol^-1
10400,1.5507188176186 kJ mol^-1,-1497.7390738664917 kJ mol^-1,-1496.188355048873 kJ mol^-1
10500,0.26340240265772746 kJ mol^-1,-1487.2447041516089 kJ mol^-1,-1486.9813017489512 kJ mol^-1
10600,3.9237936701021034 kJ mol^-1,-1492.8742823137322 kJ mol^-1,-1488.95048864363 kJ mol^-1
10700,5.307820676988592 kJ mol^-1,-1520.740376750855 kJ mol^-1,-1515.4325560738664 kJ mol^-1
10800,-1.72926450418933 kJ mol^-1,-1516.0228647485073 kJ mol^-1,-1517.7521292526967 kJ mol^-1
10900,2.021858321015477 kJ mol^-1,-1511.328360219562 kJ mol^-1,-1509.3065018985465 kJ mol^-1
11000,8.011043159138701 kJ mol^-1,-1510.154284777988 kJ mol^-1,-1502.1432416188493 kJ mol^-1
11100,-5.713818558659331 kJ mol^-1,-1510.6732344805382 kJ mol^-1,-1516.3870530391976 kJ mol^-1
11200,-7.341707018371024 kJ mol^-1,-1505.1901897914715 kJ mol^-1,-1512.5318968098425 kJ mol^-1
11300,-4.980469067783167 kJ mol^-1,-1509.2241658596574 kJ mol^-1,-1514.2046349274406 kJ mol^-1
11400,-4.90712769575677 kJ mol^-1,-1515.077745228998 kJ mol^-1,-1519.9848729247549 kJ mol^-1
11500,-8.064948802519957 kJ mol^-1,-1524.6655503578804 kJ mol^-1,-1532.7304991604003 kJ mol^-1
11600,-8.629319853638895 kJ mol^-1,-1528.555760169241 kJ mol^-1,-1537.18508002288 kJ mol^-1
11700,-4.387916297334167 kJ mol^-1,-1545.8928168391992 kJ mol^-1,-1550.2807331365334 kJ mol^-1
11800,-4.400293977833606 kJ mol^-1,-1571.79901583036 kJ mol^-1,-1576.1993098081937 kJ mol^-1
11900,3.510689393907047 kJ mol^-1,-1587.3030309811336 kJ mol^-1,-1583.7923415872265 kJ mol^-1
12000,2.3359468565117085 kJ mol^-1,-1597.5244553188263 kJ mol^-1,-1595.1885084623145 kJ mol^-1
12100,5.583225334135527 kJ mol^-1,-1607.9005947044545 kJ mol^-1,-1602.317369370319 kJ mol^-1
12200,3.9230034255511788 kJ mol^-1,-1613.6942235350618 kJ mol^-1,-1609.7712201095108 kJ mol^-1
12300,1.9135586547345327 kJ mol^-1,-1621.2147228196916 kJ mol^-1,-1619.301164164957 kJ mol^-1
12400,-2.844259080266956 kJ mol^-1,-1626.3219628209126 kJ mol^-1,-1629.1662219011796 kJ mol^-1
12500,12.971376586646196 kJ mol^-1,-1648.5452220076097 kJ mol^-1,-1635.5738454209636 kJ mol^-1
12600,17.52663740708134 kJ mol^-1,-1656.6956706181038 kJ mol^-1,-1639.1690332110225 kJ mol^-1
12700,16.13697606547541 kJ mol^-1,-1660.7918964494368 kJ mol^-1,-1644.6549203839613 kJ mol^-1
12800,-1.4839226667318703 kJ mol^-1,-1660.9867805040408 kJ mol^-1,-1662.4707031707726 kJ mol^-1
12900,-2.910222714986939 kJ mol^-1,-1668.909522693583 kJ mol^-1,-1671.81974540857 kJ mol^-1
13000,-1.3885857272454332 kJ mol^-1,-1676.0773814774543 kJ mol^-1,-1677.4659672046998 kJ mol^-1
13100,0.9233150336797948 kJ mol^-1,-1682.169923474752 kJ mol^-1,-1681.2466084410723 kJ mol^-1
13200,0.33743696411704643 kJ mol^-1,-1686.681314795152 kJ mol^-1,-1686.343877831035 kJ mol^-1
13300,3.807181824519805 kJ mol^-1,-1681.244920776548 kJ mol^-1,-1677.4377389520282 kJ mol^-1
13400,10.982962406685116 kJ mol^-1,-1694.897420977731 kJ mol^-1,-1683.9144585710458 kJ mol^-1
13500,15.351203475850546 kJ mol^-1,-1704.142041173973 kJ mol^-1,-1688.7908376981225 kJ mol^-1
13600,16.276211768375017 kJ mol^-1,-1714.536224980869 kJ mol^-1,-1698.260013212494 kJ mol^-1
13700,14.711081533646118 kJ mol^-1,-1715.9235033960929 kJ mol^-1,-1701.2124218624467 kJ mol^-1
13800,13.782185804400312 kJ mol^-1,-1705.4834866075996 kJ mol^-1,-1691.7013008031993 kJ mol^-1
13900,20.85055491188584 kJ mol^-1,-1720.7113510723836 kJ mol^-1,-1699.8607961604978 kJ mol^-1
14000,15.842858129036859 kJ mol^-1,-1730.9871204733754 kJ mol^-1,-1715.1442623443386 kJ mol^-1
14100,14.481572460559859 kJ mol^-1,-1751.139156311155 kJ mol^-1,-1736.657583850595 kJ mol^-1
14200,14.576310941333748 kJ mol^-1,-1768.1905384318302 kJ mol^-1,-1753.6142274904964 kJ mol^-1
14300,14.48924283450665 kJ mol^-1,-1793.67679220585 kJ mol^-1,-1779.1875493713433 kJ mol^-1
14400,13.75656172132723 kJ mol^-1,-1805.6572008513308 kJ mol^-1,-1791.9006391300036 kJ mol^-1
14500,17.117247213900086 kJ mol^-1,-1804.067145047023 kJ mol^-1,-1786.9498978331228 kJ mol^-1
14600,22.87650036520608 kJ mol^-1,-1814.2308770480718 kJ mol^-1,-1791.3543766828657 kJ mol^-1
14700,32.66670454390206 kJ mol^-1,-1821.7521272916824 kJ mol^-1,-1789.0854227477803 kJ mol^-1
14800,29.26169183448751 kJ mol^-1,-1823.7562755781755 kJ mol^-1,-1794.494583743688 kJ mol^-1
14900,26.437118567458025 kJ mol^-1,-1816.760531704529 kJ mol^-1,-1790.323413137071 kJ mol^-1
15000,20.936116605775233 kJ mol^-1,-1809.51816586965 kJ mol^-1,-1788.5820492638748 kJ mol^-1
15100,18.78037251015729 kJ mol^-1,-1799.855504111244 kJ mol^-1,-1781.0751316010867 kJ mol^-1
15200,11.44748105579852 kJ mol^-1,-1797.7349112546972 kJ mol^-1,-1786.2874301988986 kJ mol^-1
15300,10.684704715369493 kJ mol^-1,-1795.1501509698996 kJ mol^-1,-1784.4654462545302 kJ mol^-1
15400,17.743469323553164 kJ mol^-1,-1799.4100421053652 kJ mol^-1,-1781.666572781812 kJ mol^-1
15500,13.160389171475195 kJ mol^-1,-1801.061914102067 kJ mol^-1,-1787.901524930592 kJ mol^-1
15600,9.804203142885125 kJ mol^-1,-1806.3706494167907 kJ mol^-1,-1796.5664462739055 kJ mol^-1
15700,7.922163398931031 kJ mol^-1,-1802.9975864896326 kJ mol^-1,-1795.0754230907016 kJ mol^-1
15800,1.503221370151948 kJ mol^-1,-1810.1312194013415 kJ mol^-1,-1808.6279980311895 kJ mol^-1
15900,0.19410173800497002 kJ mol^-1,-1804.487174419692 kJ mol^-1,-1804.2930726816871 kJ mol^-1
16000,0.9253395748532722 kJ mol^-1,-1814.5185598510602 kJ mol^-1,-1813.593220276207 kJ mol^-1
16100,1.7929523572369077 kJ mol^-1,-1803.667585684059 kJ mol^-1,-1801.8746333268223 kJ mol^-1
16200,2.363160126464405 kJ mol^-1,-1810.0607961604555 kJ mol^-1,-1807.697636033991 kJ mol^-1
16300,5.4026757219884445 kJ mol^-1,-1790.8655990065647 kJ mol^-1,-1785.4629232845762 kJ mol^-1
16400,5.415462199988035 kJ mol^-1,-1786.7782311417564 kJ mol^-1,-1781.3627689417683 kJ mol^-1
16500,4.038019890067459 kJ mol^-1,-1776.3603681385673 kJ mol^-1,-1772.3223482484998 kJ mol^-1
16600,4.508940449651636 kJ mol^-1,-1775.3491968004446 kJ mol^-1,-1770.840256350793 kJ mol^-1
16700,5.982986722869576 kJ mol^-1,-1785.6138159221803 kJ mol^-1,-1779.6308291993107 kJ mol^-1
16800,8.665125526742127 kJ mol^-1,-1784.4540241353877 kJ mol^-1,-1775.7888986086457 kJ mol^-1
16900,7.988478244902257 kJ mol^-1,-1770.5295902330176 kJ mol^-1,-1762.5411119881153 kJ mol^-1
17000,11.242958879113573 kJ mol^-1,-1779.15098046302 kJ mol^-1,-1767.9080215839065 kJ mol^-1
17100,7.8941298679901974 kJ mol^-1,-1773.9954205080799 kJ mol^-1,-1766.1012906400897 kJ mol^-1
17200,8.737962766249902 kJ mol^-1,-1784.4227405552808 kJ mol^-1,-1775.684777789031 kJ mol^-1
17300,15.513765516341318 kJ mol^-1,-1781.8046341292152 kJ mol^-1,-1766.290868612874 kJ mol^-1
17400,10.574853387015905 kJ mol^-1,-1790.0760983524392 kJ mol^-1,-1779.5012449654232 kJ mol^-1
17500,14.748878184057343 kJ mol^-1,-1798.219641213112 kJ mol^-1,-1783.4707630290548 kJ mol^-1
17600,13.92102178666985 kJ mol^-1,-1806.753591827873 kJ mol^-1,-1792.832570041203 kJ mol^-1
17700,19.326887581151272 kJ mol^-1,-1817.9268197364092 kJ mol^-1,-1798.5999321552579 kJ mol^-1
17800,15.059138466549365 kJ mol^-1,-1811.9495760941625 kJ mol^-1,-1796.8904376276132 kJ mol^-1
17900,1.0125012094158183 kJ mol^-1,-1828.042724091815 kJ mol^-1,-1827.0302228823991 kJ mol^-1
18000,1.51595638122875 kJ mol^-1,-1833.478523722063 kJ mol^-1,-1831.9625673408343 kJ mol^-1
18100,2.175179953336383 kJ mol^-1,-1840.5483542413301 kJ mol^-1,-1838.3731742879938 kJ mol^-1
18200,3.9655715079019385 kJ mol^-1,-1840.415057052038 kJ mol^-1,-1836.449485544136 kJ mol^-1
18300,1.735559222350291 kJ mol^-1,-1837.682375095567 kJ mol^-1,-1835.9468158732168 kJ mol^-1
18400,4.618002820303716 kJ mol^-1,-1827.706941619296 kJ mol^-1,-1823.0889387989923 kJ mol^-1
18500,5.010854713483952 kJ mol^-1,-1836.2965651221082 kJ mol^-1,-1831.2857104086243 kJ mol^-1
18600,11.49004438577575 kJ mol^-1,-1846.1650887991457 kJ mol^-1,-1834.67504441337 kJ mol^-1
18700,11.768416447315644 kJ mol^-1,-1841.2420478941574 kJ mol^-1,-1829.4736314468419 kJ mol^-1
18800,8.190876119709385 kJ mol^-1,-1824.235408679494 kJ mol^-1,-1816.0445325597846 kJ mol^-1
18900,7.771210971582297 kJ mol^-1,-1832.2785696245842 kJ mol^-1,-1824.5073586530018 kJ mol^-1
19000,8.974861472799896 kJ mol^-1,-1843.919173100264 kJ mol^-1,-1834.9443116274642 kJ mol^-1
19100,10.41750444190332 kJ mol^-1,-1838.2746755024555 kJ mol^-1,-1827.8571710605522 kJ mol^-1
19200,11.33365045776114 kJ mol^-1,-1836.2856689085922 kJ mol^-1,-1824.952018450831 kJ mol^-1
19300,13.54526326198851 kJ mol^-1,-1843.2956660102445 kJ mol^-1,-1829.750402748256 kJ mol^-1
19400,7.889535901220328 kJ mol^-1,-1850.5860112512842 kJ mol^-1,-1842.6964753500638 kJ mol^-1
19500,8.985098315185986 kJ mol^-1,-1858.1727317188972 kJ mol^-1,-1849.1876334037113 kJ mol^-1
19600,0.24032228679233494 kJ mol^-1,-1866.90296900847 kJ mol^-1,-1866.6626467216777 kJ mol^-1
19700,-3.666974416934564 kJ mol^-1,-1873.1394096138145 kJ mol^-1,-1876.806384030749 kJ mol^-1
19800,-5.3361392226240625 kJ mol^-1,-1862.8002637916697 kJ mol^-1,-1868.1364030142938 kJ mol^-1
19900,-5.628713343608401 kJ mol^-1,-1854.9189119850607 kJ mol^-1,-1860.547625328669 kJ mol^-1
20000,-4.629404911891304 kJ mol^-1,-1851.48269676154 kJ mol^-1,-1856.1121016734312 kJ mol^-1
20100,-5.023066305763891 kJ mol^-1,-1855.5427099111444 kJ mol^-1,-1860.5657762169083 kJ mol^-1
20200,-3.3488519613800753 kJ mol^-1,-1865.8321516414042 kJ mol^-1,-1869.1810036027841 kJ mol^-1
20300,2.6741207452402396 kJ mol^-1,-1868.4737164556773 kJ mol^-1,-1865.799595710437 kJ mol^-1
20400,-0.3185762606950949 kJ mol^-1,-1876.7934040371545 kJ mol^-1,-1877.1119802978496 kJ mol^-1
20500,3.0941253419731254 kJ mol^-1,-1875.979299115204 kJ mol^-1,-1872.885173773231 kJ mol^-1
20600,-1.067212617361689 kJ mol^-1,-1869.8982575474183 kJ mol^-1,-1870.96547016478 kJ mol^-1
20700,-0.6448544610508844 kJ mol^-1,-1881.4096172340169 kJ mol^-1,-1882.0544716950678 kJ mol^-1
20800,-3.8573493435013964 kJ mol^-1,-1896.7768472437826 kJ mol^-1,-1900.6341965872841 kJ mol^-1
20900,-0.30733804784543706 kJ mol^-1,-1904.928708318908 kJ mol^-1,-1905.2360463667535 kJ mol^-1
21000,-1.1163772822871916 kJ mol^-1,-1896.554037101671 kJ mol^-1,-1897.6704143839581 kJ mol^-1
21100,6.059710601973544 kJ mol^-1,-1906.5190160336906 kJ mol^-1,-1900.459305431717 kJ mol^-1
21200,1.854234028554626 kJ mol^-1,-1902.9794871626164 kJ mol^-1,-1901.1252531340617 kJ mol^-1
21300,3.2953724067756953 kJ mol^-1,-1909.9645958684453 kJ mol^-1,-1906.6692234616696 kJ mol^-1
21400,0.6255535756385513 kJ mol^-1,-1903.2462541856326 kJ mol^-1,-1902.620700609994 kJ mol^-1
21500,-5.212168628214095 kJ mol^-1,-1895.4708093925192 kJ mol^-1,-1900.6829780207333 kJ mol^-1
21600,-6.36960674902516 kJ mol^-1,-1899.0542065864872 kJ mol^-1,-1905.4238133355125 kJ mol^-1
21700,-5.717104263119802 kJ mol^-1,-1900.495624742223 kJ mol^-1,-1906.212729005343 kJ mol^-1
21800,-5.986806982372075 kJ mol^-1,-1909.0624777626908 kJ mol^-1,-1915.049284745063 kJ mol^-1
21900,-7.406223091158834 kJ mol^-1,-1920.5998104202547 kJ mol^-1,-1928.0060335114135 kJ mol^-1
22000,-6.462891511992416 kJ mol^-1,-1929.3310357700236 kJ mol^-1,-1935.793927282016 kJ mol^-1
22100,-1.9652070472677632 kJ mol^-1,-1938.4030805585764 kJ mol^-1,-1940.3682876058442 kJ mol^-1
22200,2.3740361070160905 kJ mol^-1,-1943.2827040268141 kJ mol^-1,-1940.908667919798 kJ mol^-1
22300,6.948897288837633 kJ mol^-1,-1946.3883610293353 kJ mol^-1,-1939.4394637404978 kJ mol^-1
22400,7.384859465453408 kJ mol^-1,-1967.4824272901253 kJ mol^-1,-1960.0975678246718 kJ mol^-1
22500,7.773738991942346 kJ mol^-1,-1965.8124026790829 kJ mol^-1,-1958.0386636871406 kJ mol^-1
22600,4.458663786476133 kJ mol^-1,-1969.3610402420907 kJ mol^-1,-1964.9023764556146 kJ mol^-1
22700,6.032839718616468 kJ mol^-1,-1973.0814054519456 kJ mol^-1,-1967.048565733329 kJ mol^-1
22800,6.532843199928915 kJ mol^-1,-1971.4307959858772 kJ mol^-1,-1964.8979527859483 kJ mol^-1
22900,5.535422372094193 kJ mol^-1,-1957.8041724220495 kJ mol^-1,-1952.2687500499553 kJ mol^-1
23000,4.92946926641422 kJ mol^-1,-1949.1836472376956 kJ mol^-1,-1944.2541779712815 kJ mol^-1
23100,6.616670377266802 kJ mol^-1,-1957.774309069925 kJ mol^-1,-1951.1576386926583 kJ mol^-1
23200,2.2694057031277803 kJ mol^-1,-1956.3089752974406 kJ mol^-1,-1954.0395695943128 kJ mol^-1
23300,4.916679345967069 kJ mol^-1,-1954.292524191871 kJ mol^-1,-1949.3758448459039 kJ mol^-1
23400,4.852646741360177 kJ mol^-1,-1936.0475408668174 kJ mol^-1,-1931.1948941254573 kJ mol^-1
23500,3.104254481257196 kJ mol^-1,-1945.9199318453814 kJ mol^-1,-1942.8156773641242 kJ mol^-1
23600,1.9698153959940163 kJ mol^-1,-1949.6363495289997 kJ mol^-1,-1947.6665341330058 kJ mol^-1
23700,-2.7818688439103996 kJ mol^-1,-1948.9294691155367 kJ mol^-1,-1951.711337959447 kJ mol^-1
23800,2.2256773106134666 kJ mol^-1,-1957.0143071576613 kJ mol^-1,-1954.7886298470478 kJ mol^-1
23900,-6.064173534317294 kJ mol^-1,-1942.314760885875 kJ mol^-1,-1948.3789344201923 kJ mol^-1
24000,-6.409831869371224 kJ mol^-1,-1949.8798195607758 kJ mol^-1,-1956.289651430147 kJ mol^-1
24100,-5.954122913761259 kJ mol^-1,-1940.9415501197516 kJ mol^-1,-1946.8956730335128 kJ mol^-1
