step_n,dE_pme,dE_pdmk,E_pme
1000,-3.5422197807574443,-3.4890299615121028,-24872.76423584499
2000,0.44103357756013134,0.44103071819324485,-25949.772981194485
3000,0.6331178862201887,0.6342212917810242,-26920.400279959566
4000,-0.038391674013463994,-0.035168268770652954,-27895.07058085167
5000,-15.518568226326293,-15.496471275186211,-28847.534171812127
6000,-0.048339414044359,-0.04711906213820535,-29846.037415376082
7000,0.03781570782666826,0.037785591212914506,-31030.5078816281
8000,0.9250866124068721,0.917651921646946,-32947.967027069506
9000,-0.20945300196238492,-0.2102974814137458,-34221.29623134814
10000,-4.714697990489531,-4.759027145377267,-35727.02725341867
11000,-0.13623656095217368,-0.1366132814933601,-37084.54583643516
12000,-2.606931860709392,-2.6192672787885587,-38575.55860073435
13000,3.042327693070588,3.0477382527139576,-39899.79001334752
14000,3.5062395562694837,3.4954849750567187,-40811.344538844634
15000,2.546831774978548,2.5333770923727856,-42039.909617709905
16000,0.505439461165657,0.513683715996382,-43637.51294856412
17000,-4.426236388385456,-4.373663525507637,-45298.52798377494
18000,-1.0426307559072687,-1.0473680692598342,-46893.25851421548
19000,-2.5119658764920776,-2.498887369042535,-47906.50038801728
20000,0.10207988124605422,0.11406414665854933,-49254.148278365785
21000,-4.6910646164411895,-4.707183844869075,-50720.810138574714
22000,-0.3539500547654109,-0.35506287715781476,-51962.444945933865
23000,-0.6526686047069921,-0.6389437605212994,-53422.09743155783
24000,4.563159819844034,4.567673123653318,-54987.985962995095
25000,-0.23199937090122655,-0.24331374787058402,-57225.942142483895
26000,2.85201703340638,2.8304852613083207,-58605.14343252928
27000,0.46332223797374567,0.4629122247502712,-60625.965814396484
28000,3.4176037511188935,3.45775310765045,-63633.0946000797
29000,-0.5089679290337166,-0.5091449089687444,-65051.867006913926
30000,2.6022686982963554,2.569024089064529,-66954.5898415963
31000,0.1577612639071542,0.15641964065658173,-68529.84068248885
32000,-3.178530134630328,-3.1679800454232363,-70243.75374453436
33000,0.06946847728730111,0.07024575726087728,-71498.2337564052
34000,1.3709401101460703,1.3717843119685775,-73458.5775067798
35000,0.426058494031243,0.42206797716155764,-75803.48376020405
36000,4.716603106339621,4.710931325736591,-77796.59433813662
37000,0.4482778273409148,0.44926818573908245,-78993.02301155406
38000,-0.22523475974708432,-0.23449496665416306,-80913.22992604173
39000,4.807061761464558,4.79994527198387,-82335.40203512758
40000,0.5647269866763693,0.5714694205402184,-85282.80544204515
41000,7.738585872107485,7.7314264183462305,-86897.6127334593
42000,-0.38362961924660705,-0.3849997509934941,-88724.78306676699
43000,1.6690691832420292,1.6654635534945599,-90363.57716749585
44000,-0.0017682869169871414,-0.01226813657184211,-92314.35175524165
45000,-6.007916570322594,-5.995420718407992,-93933.1130340759
46000,0.495683222293345,0.4988986879889059,-94825.95964296041
47000,0.09077733576740324,0.09607020400871868,-96571.75581252408
48000,0.42200576947222773,0.40548212235332937,-97934.52695408052
49000,0.05991775761098895,0.06254447691974345,-100114.63844057958
50000,-39.01148817903695,-39.00500915113908,-100908.44737274318
51000,0.004346162250751607,0.0030131463464775393,-102215.66509466279
52000,0.9844521420845681,0.9844567920314803,-103342.25663045123
53000,0.36761342277995357,0.3693619072138498,-104999.01963377722
54000,-0.6471252990470762,-0.6456120853087017,-106488.3154196494
55000,-32.82810478003053,-32.87791220038802,-107835.81653573747
56000,0.06893053346593483,0.07012577358146663,-109021.14706653362
57000,-26.405135801916856,-26.39288229333235,-109921.26872812072
58000,-0.08604212640466286,-0.08198563134649571,-110836.46797132523
59000,5.117009538521424,5.114003650507423,-112025.49631930825
