step_n,E_lj,E_elec,E_total
4100,0.36967364858752905,-27997.647296775733,-27997.277623127145
4200,0.24044000135415575,-28089.70067453431,-28089.460234532955
4300,3.8786100068653555,-28124.291055877173,-28120.412445870308
4400,3.505766948233599,-28184.00168963018,-28180.495922681945
4500,3.2801557783270705,-28257.43156262985,-28254.15140685152
4600,3.71158313993281,-28296.706588614514,-28292.995005474582
4700,16.591607634608902,-28439.993780219247,-28423.40217258464
4800,4.969091060124992,-28543.463083153165,-28538.49399209304
4900,5.3171652108621865,-28641.473893176004,-28636.156727965143
5000,5.242806890141934,-28827.22063514415,-28821.977828254006
5100,5.035802258144285,-29062.03364184947,-29056.997839591324
5200,1.6903210746046093,-29111.459200447895,-29109.76887937329
5300,2.457908984690347,-29200.027479004406,-29197.569570019714
5400,2.4794536149469755,-29279.216074424232,-29276.736620809286
5500,2.550865850344655,-29322.371774416435,-29319.82090856609
5600,2.7512264356713243,-29446.474342895166,-29443.723116459496
5700,3.334829185088231,-29563.890547784216,-29560.555718599127
5800,2.770018580148194,-29680.464170495987,-29677.69415191584
5900,2.7650445215496964,-29786.086138195507,-29783.321093673956
6000,0.6182752664429192,-29825.432703494775,-29824.814428228332
6100,-2.8798519721848495,-29878.987667520967,-29881.867519493153
6200,-2.5931718869233875,-29995.933245848617,-29998.526417735542
6300,-2.729615908668432,-30044.841101559992,-30047.57071746866
6400,-3.0698241046624313,-30151.784933435356,-30154.85475754002
6500,-2.663359574753858,-30298.695048413203,-30301.35840798796
6600,-1.9288358439427375,-30337.8311209825,-30339.759956826445
6700,-0.01777564243438161,-30661.41709791063,-30661.434873553066
6800,-4.794106945549459,-30762.183975240998,-30766.978082186546
6900,-5.745929697409948,-30836.41365405253,-30842.159583749937
7000,-6.069777185193972,-31009.546623353974,-31015.61640053917
7100,-5.408926655280995,-31068.908962813515,-31074.317889468795
7200,-4.149696311928913,-31182.681238652123,-31186.83093496405
7300,-3.751640982136019,-31238.277257460617,-31242.028898442753
7400,-3.919175226351853,-31334.286333298063,-31338.205508524414
7500,-4.13893943699254,-31424.065856879995,-31428.204796316986
7600,-4.308917975099401,-31655.538972043905,-31659.847890019006
7700,287.39644003456226,-32350.76785525389,-32063.371415219328
7800,295.00058088583995,-32663.653550220693,-32368.652969334853
7900,293.9648870116342,-32724.12558744859,-32430.160700436958
8000,295.4525171019096,-32928.76108664992,-32633.308569548015
8100,298.69023377257435,-33262.7880262503,-32964.097792477725
8200,317.12866313254705,-33322.872337335815,-33005.743674203266
8300,316.8696914216146,-33528.69075257307,-33211.82106115146
8400,297.84155505490247,-33589.39808428006,-33291.556529225156
8500,298.517353323452,-33673.685965111144,-33375.16861178769
8600,301.72755885564953,-33901.71206249299,-33599.98450363734
8700,221.75051593471602,-33974.05098503144,-33752.30046909673
8800,218.5671012522207,-34031.7034381922,-33813.13633693998
8900,211.027370668808,-34094.447351913994,-33883.419981245184
9000,211.3249332871532,-34201.29715221135,-33989.972218924195
9100,217.3456118540994,-34284.79898231755,-34067.45337046345
9200,209.91763689532576,-34317.72705446733,-34107.809417572
9300,216.14715840686068,-34696.51505020808,-34480.367891801216
9400,219.89793931077415,-34843.06797070471,-34623.17003139394
9500,219.14221492966004,-34915.55083787114,-34696.408622941475
9600,221.498510155793,-35035.5679690311,-34814.06945887531
9700,222.20099258037257,-35323.53000409544,-35101.32901151507
9800,225.09425219653232,-35389.59352636229,-35164.499274165755
9900,287.21669674624206,-35617.03515249626,-35329.81845575002
10000,285.16769915051304,-35709.11422011316,-35423.94652096264
10100,286.9169242199631,-35826.924317290686,-35540.00739307072
10200,286.7602764788836,-35970.10304280761,-35683.34276632873
10300,288.22411694945583,-36123.24186764319,-35835.01775069373
10400,292.54457010802,-36319.20096751794,-36026.656397409926
10500,292.64390616384486,-36386.393212844094,-36093.74930668025
10600,294.6509087872247,-36435.68596203778,-36141.035053250554
10700,294.9173400941069,-36509.39467530095,-36214.477335206844
10800,295.0667442089999,-36572.83017244184,-36277.76342823284
10900,299.3609673677774,-36775.25649720483,-36475.89552983705
11000,301.78695403966634,-37064.98648316489,-36763.199529125224
11100,296.1145759943234,-37132.63666096253,-36836.52208496821
11200,295.55273959439467,-37189.28710653136,-36893.734366936966
11300,295.5995424705357,-37316.41730613279,-37020.81776366226
